user_sequence,challenge
71878_11,CI24003
71880_11,CI25075
71882_11,CI26176
71883_11,CI25507
71884_11,CI23848
71886_11,CI25135
71892_11,CI24531
71896_11,CI26821
71898_11,CI26221
71899_11,CI26220
71901_11,CI26898
71905_11,CI27973
71913_11,CI26915
71914_11,CI24349
71915_11,CI26171
71918_11,CI26922
71919_11,CI27039
71920_11,CI25141
71922_11,CI24968
71923_11,CI24374
71927_11,CI25074
71934_11,CI23703
71937_11,CI24004
71940_11,CI23727
71941_11,CI23899
71942_11,CI25445
71945_11,CI23666
71948_11,CI26206
71949_11,CI26925
71951_11,CI26931
71953_11,CI23667
71955_11,CI24610
71957_11,CI23616
71962_11,CI25075
71963_11,CI26200
71969_11,CI23727
71971_11,CI26913
71975_11,CI25661
71976_11,CI26873
71978_11,CI24107
71980_11,CI26198
71981_11,CI26922
71983_11,CI27657
71985_11,CI26907
71993_11,CI25039
71994_11,CI25336
71996_11,CI24094
72012_11,CI25074
72018_11,CI24023
72019_11,CI25247
72023_11,CI24184
72027_11,CI26927
72035_11,CI23546
72040_11,CI26208
72041_11,CI24690
72043_11,CI24491
72044_11,CI24583
72048_11,CI26913
72052_11,CI26918
72054_11,CI23760
72055_11,CI26916
72057_11,CI23691
72058_11,CI26921
72060_11,CI26915
72063_11,CI26915
72067_11,CI24187
72070_11,CI23691
72072_11,CI26667
72073_11,CI25135
72076_11,CI26927
72079_11,CI26930
72083_11,CI26909
72084_11,CI25135
72091_11,CI24435
72092_11,CI23648
72094_11,CI26914
72095_11,CI24873
72099_11,CI25140
72101_11,CI26602
72106_11,CI24448
72108_11,CI25074
72109_11,CI26162
72110_11,CI25043
72113_11,CI26927
72115_11,CI24737
72116_11,CI25117
72119_11,CI26915
72120_11,CI25103
72123_11,CI23855
72124_11,CI24493
72126_11,CI26915
72127_11,CI25150
72129_11,CI24420
72130_11,CI25141
72131_11,CI24958
72133_11,CI24957
72135_11,CI26922
72136_11,CI25141
72139_11,CI26201
72142_11,CI26922
72145_11,CI26922
72149_11,CI24437
72151_11,CI23924
72162_11,CI23831
72163_11,CI26917
72164_11,CI25099
72165_11,CI26931
72171_11,CI26200
72172_11,CI24435
72175_11,CI24966
72180_11,CI26929
72183_11,CI26922
72184_11,CI25149
72187_11,CI26927
72188_11,CI24532
72189_11,CI26923
72191_11,CI24274
72193_11,CI24675
72196_11,CI26921
72197_11,CI24184
72199_11,CI26922
72200_11,CI24610
72203_11,CI25051
72204_11,CI26165
72205_11,CI26445
72206_11,CI25098
72209_11,CI25066
72213_11,CI26922
72215_11,CI26056
72224_11,CI24888
72225_11,CI26912
72226_11,CI26926
72229_11,CI24139
72232_11,CI26923
72234_11,CI24533
72237_11,CI26912
72238_11,CI25101
72239_11,CI24876
72242_11,CI24636
72243_11,CI26927
72246_11,CI26916
72250_11,CI26925
72258_11,CI26924
72260_11,CI23848
72262_11,CI27193
72263_11,CI24692
72265_11,CI24261
72268_11,CI24418
72271_11,CI24348
72276_11,CI25107
72282_11,CI26921
72283_11,CI25142
72291_11,CI24435
72292_11,CI25361
72294_11,CI27051
72295_11,CI23975
72297_11,CI23714
72298_11,CI26856
72299_11,CI24445
72305_11,CI23531
72307_11,CI25937
72308_11,CI24530
72309_11,CI25105
72314_11,CI24879
72320_11,CI24421
72322_11,CI24868
72323_11,CI26931
72325_11,CI24261
72328_11,CI23928
72330_11,CI26919
72336_11,CI26912
72342_11,CI26909
72346_11,CI26909
72349_11,CI25149
72350_11,CI26927
72352_11,CI26931
72357_11,CI26911
72359_11,CI27050
72365_11,CI24184
72367_11,CI26927
72368_11,CI24957
72370_11,CI24228
72375_11,CI24255
72376_11,CI26909
72378_11,CI24521
72381_11,CI24461
72382_11,CI25124
72384_11,CI24768
72386_11,CI24992
72387_11,CI26938
72392_11,CI23831
72395_11,CI26925
72396_11,CI26919
72400_11,CI25149
72403_11,CI25234
72405_11,CI23813
72406_11,CI26911
72407_11,CI26911
72408_11,CI23734
72409_11,CI23688
72413_11,CI26927
72417_11,CI26925
72424_11,CI26927
72425_11,CI24138
72427_11,CI25353
72428_11,CI24420
72432_11,CI25140
72434_11,CI26912
72436_11,CI26926
72437_11,CI24527
72443_11,CI26912
72448_11,CI24184
72454_11,CI26197
72458_11,CI26938
72462_11,CI25139
72463_11,CI25074
72468_11,CI27051
72470_11,CI25135
72474_11,CI24679
72488_11,CI27027
72492_11,CI26221
72494_11,CI23836
72496_11,CI26250
72503_11,CI23662
72510_11,CI25108
72512_11,CI24030
72518_11,CI24876
72522_11,CI28179
72529_11,CI25113
72531_11,CI25193
72534_11,CI27141
72537_11,CI23938
72538_11,CI25727
72540_11,CI26050
72541_11,CI25101
72543_11,CI24094
72547_11,CI24257
72548_11,CI23990
72554_11,CI24437
72557_11,CI24426
72560_11,CI23780
72561_11,CI25117
72565_11,CI23839
72566_11,CI24447
72568_11,CI24421
72569_11,CI24239
72571_11,CI24117
72574_11,CI27006
72575_11,CI24146
72579_11,CI26984
72581_11,CI25022
72584_11,CI24418
72587_11,CI26933
72589_11,CI23780
72591_11,CI28576
72600_11,CI25108
72601_11,CI28585
72602_11,CI24534
72603_11,CI24419
72607_11,CI24230
72609_11,CI24099
72610_11,CI24674
72613_11,CI24637
72617_11,CI25107
72626_11,CI24491
72627_11,CI24599
72630_11,CI23510
72633_11,CI28195
72634_11,CI26186
72635_11,CI26206
72637_11,CI23714
72638_11,CI24225
72640_11,CI26407
72641_11,CI23750
72642_11,CI24225
72644_11,CI23870
72645_11,CI23498
72646_11,CI26178
72648_11,CI26894
72650_11,CI26836
72654_11,CI28189
72655_11,CI24965
72660_11,CI23696
72669_11,CI24953
72670_11,CI23498
72672_11,CI26995
72674_11,CI24661
72676_11,CI27669
72682_11,CI25135
72684_11,CI25634
72687_11,CI24261
72690_11,CI25043
72695_11,CI28199
72698_11,CI24109
72701_11,CI27003
72706_11,CI25289
72720_11,CI27010
72722_11,CI27796
72724_11,CI23781
72726_11,CI27796
72729_11,CI26898
72730_11,CI23696
72734_11,CI23723
72736_11,CI24533
72738_11,CI24840
72739_11,CI25362
72741_11,CI24206
72744_11,CI24876
72745_11,CI24346
72747_11,CI26920
72750_11,CI24534
72752_11,CI24532
72754_11,CI24867
72755_11,CI24661
72761_11,CI25292
72766_11,CI26202
72767_11,CI24235
72768_11,CI26952
72769_11,CI27263
72770_11,CI27675
72771_11,CI23769
72777_11,CI24521
72778_11,CI26716
72780_11,CI24031
72781_11,CI25149
72782_11,CI24868
72783_11,CI24531
72788_11,CI27675
72789_11,CI25075
72793_11,CI25443
72796_11,CI27012
72800_11,CI24188
72802_11,CI23688
72803_11,CI24968
72806_11,CI24461
72809_11,CI26920
72815_11,CI25143
72816_11,CI24491
72822_11,CI25142
72823_11,CI23694
72824_11,CI26950
72825_11,CI24634
72830_11,CI25223
72837_11,CI26220
72839_11,CI24718
72841_11,CI25217
72842_11,CI24348
72843_11,CI25024
72845_11,CI24228
72846_11,CI28196
72848_11,CI25625
72851_11,CI25132
72853_11,CI24868
72857_11,CI24917
72861_11,CI23769
72864_11,CI23990
72868_11,CI23856
72869_11,CI23782
72872_11,CI24530
72873_11,CI25124
72874_11,CI24184
72879_11,CI24868
72881_11,CI25083
72882_11,CI24875
72883_11,CI24888
72884_11,CI24245
72889_11,CI24440
72892_11,CI23714
72898_11,CI25501
72903_11,CI24014
72907_11,CI24958
72908_11,CI25127
72917_11,CI23855
72920_11,CI24206
72921_11,CI24867
72926_11,CI28581
72929_11,CI28953
72935_11,CI25175
72941_11,CI25041
72942_11,CI24459
72944_11,CI26052
72946_11,CI25292
72947_11,CI24690
72948_11,CI24413
72950_11,CI25055
72951_11,CI25106
72952_11,CI27648
72957_11,CI25074
72962_11,CI23503
72963_11,CI24867
72966_11,CI27662
72967_11,CI25562
72968_11,CI25769
72971_11,CI25148
72973_11,CI23691
72974_11,CI28272
72975_11,CI24883
72977_11,CI27656
72983_11,CI24876
72985_11,CI25027
72988_11,CI25444
72993_11,CI25661
73002_11,CI24942
73005_11,CI24884
73007_11,CI25991
73008_11,CI25074
73010_11,CI24030
73011_11,CI24724
73012_11,CI26987
73014_11,CI24189
73016_11,CI25143
73017_11,CI25142
73021_11,CI26840
73022_11,CI23493
73029_11,CI26381
73043_11,CI23660
73053_11,CI27809
73060_11,CI26196
73061_11,CI23648
73062_11,CI23493
73063_11,CI28214
73067_11,CI23668
73068_11,CI25135
73069_11,CI23887
73071_11,CI24117
73076_11,CI24230
73078_11,CI25142
73079_11,CI23691
73090_11,CI24030
73093_11,CI26932
73095_11,CI24266
73099_11,CI24111
73105_11,CI23617
73106_11,CI24871
73108_11,CI24251
73110_11,CI24469
73111_11,CI23971
73113_11,CI25075
73114_11,CI26898
73115_11,CI25140
73122_11,CI23662
73124_11,CI26160
73127_11,CI24597
73128_11,CI23697
73129_11,CI24619
73130_11,CI24659
73131_11,CI24968
73132_11,CI23933
73134_11,CI23836
73135_11,CI27797
73136_11,CI27802
73137_11,CI24873
73139_11,CI23855
73140_11,CI24228
73149_11,CI24953
73150_11,CI26615
73156_11,CI23826
73158_11,CI24421
73160_11,CI25108
73161_11,CI27670
73163_11,CI25454
73164_11,CI23503
73165_11,CI24138
73170_11,CI27658
73176_11,CI24125
73178_11,CI24418
73179_11,CI27658
73180_11,CI24081
73190_11,CI27665
73191_11,CI24118
73192_11,CI24675
73194_11,CI24118
73195_11,CI25142
73199_11,CI24174
73200_11,CI24871
73201_11,CI25110
73208_11,CI24420
73209_11,CI24447
73210_11,CI24138
73215_11,CI27670
73220_11,CI26489
73224_11,CI25490
73225_11,CI25449
73228_11,CI23668
73230_11,CI26984
73231_11,CI25073
73243_11,CI25043
73245_11,CI24532
73247_11,CI24690
73248_11,CI25291
73252_11,CI23668
73253_11,CI25042
73255_11,CI24875
73262_11,CI27660
73264_11,CI23648
73266_11,CI23673
73272_11,CI25413
73274_11,CI25150
73276_11,CI24004
73278_11,CI28568
73279_11,CI27658
73286_11,CI23826
73288_11,CI23855
73290_11,CI24852
73291_11,CI28187
73293_11,CI25057
73294_11,CI28184
73301_11,CI23856
73302_11,CI28187
73304_11,CI25214
73306_11,CI26931
73307_11,CI24873
73309_11,CI24866
73311_11,CI25396
73314_11,CI24531
73321_11,CI26191
73322_11,CI23691
73323_11,CI24272
73325_11,CI24266
73327_11,CI25140
73330_11,CI24110
73331_11,CI23781
73333_11,CI25135
73334_11,CI26951
73337_11,CI25247
73340_11,CI24672
73342_11,CI24109
73344_11,CI23999
73349_11,CI25135
73358_11,CI25055
73360_11,CI23498
73362_11,CI25443
73370_11,CI24958
73384_11,CI27282
73387_11,CI24138
73389_11,CI25952
73394_11,CI24868
73395_11,CI28187
73397_11,CI25727
73398_11,CI25996
73399_11,CI23498
73401_11,CI24675
73403_11,CI26930
73404_11,CI23663
73406_11,CI28189
73409_11,CI24252
73411_11,CI25033
73416_11,CI28189
73417_11,CI23702
73418_11,CI27789
73420_11,CI28185
73421_11,CI24081
73424_11,CI25141
73430_11,CI24917
73432_11,CI23702
73433_11,CI28186
73436_11,CI24081
73439_11,CI24875
73440_11,CI26169
73441_11,CI23999
73448_11,CI23539
73449_11,CI24055
73450_11,CI27414
73454_11,CI24873
73456_11,CI23666
73459_11,CI26765
73461_11,CI25135
73463_11,CI24749
73464_11,CI24086
73465_11,CI25126
73468_11,CI24081
73471_11,CI24935
73472_11,CI23654
73473_11,CI24531
73475_11,CI27803
73481_11,CI24906
73484_11,CI24030
73485_11,CI24692
73487_11,CI23503
73488_11,CI24892
73489_11,CI24610
73491_11,CI27751
73493_11,CI24225
73495_11,CI26051
73497_11,CI25126
73500_11,CI26104
73504_11,CI23668
73506_11,CI23829
73509_11,CI28530
73511_11,CI24956
73512_11,CI25498
73515_11,CI24535
73518_11,CI26690
73519_11,CI23989
73521_11,CI24017
73524_11,CI24206
73525_11,CI24931
73528_11,CI25135
73529_11,CI23714
73532_11,CI23691
73533_11,CI23641
73538_11,CI26951
73542_11,CI24866
73543_11,CI23829
73548_11,CI24876
73550_11,CI23668
73553_11,CI24876
73562_11,CI23989
73567_11,CI23770
73573_11,CI23975
73575_11,CI24184
73576_11,CI24638
73578_11,CI24917
73579_11,CI24421
73585_11,CI23769
73586_11,CI28576
73590_11,CI25143
73593_11,CI24107
73595_11,CI25143
73600_11,CI25295
73601_11,CI24081
73605_11,CI24876
73607_11,CI24957
73608_11,CI24812
73609_11,CI25177
73610_11,CI28574
73616_11,CI23727
73619_11,CI24418
73624_11,CI23612
73627_11,CI23770
73629_11,CI26054
73631_11,CI24459
73634_11,CI24690
73635_11,CI26251
73636_11,CI28583
73637_11,CI23946
73638_11,CI25135
73642_11,CI24957
73644_11,CI23691
73651_11,CI24876
73654_11,CI28576
73655_11,CI25029
73660_11,CI24873
73661_11,CI25295
73670_11,CI24930
73672_11,CI23874
73676_11,CI23714
73678_11,CI28248
73682_11,CI23975
73684_11,CI26923
73685_11,CI23812
73689_11,CI27551
73690_11,CI25141
73691_11,CI25179
73694_11,CI25149
73695_11,CI26938
73696_11,CI25125
73698_11,CI24690
73702_11,CI27811
73704_11,CI28578
73707_11,CI25133
73708_11,CI28530
73719_11,CI24187
73722_11,CI23791
73723_11,CI25074
73726_11,CI25091
73729_11,CI24917
73731_11,CI24690
73739_11,CI25123
73742_11,CI25135
73743_11,CI25444
73749_11,CI28573
73750_11,CI23975
73754_11,CI25302
73755_11,CI26059
73759_11,CI24930
73760_11,CI24915
73762_11,CI24117
73764_11,CI23826
73765_11,CI25123
73767_11,CI25638
73772_11,CI24418
73774_11,CI26927
73775_11,CI25027
73776_11,CI24107
73777_11,CI23648
73780_11,CI25411
73782_11,CI28118
73783_11,CI26217
73790_11,CI24871
73794_11,CI24873
73795_11,CI26924
73796_11,CI26921
73801_11,CI24257
73802_11,CI27665
73803_11,CI24139
73805_11,CI24866
73806_11,CI26864
73809_11,CI25381
73813_11,CI24876
73815_11,CI24421
73818_11,CI26915
73824_11,CI25222
73827_11,CI26208
73833_11,CI26930
73835_11,CI26213
73836_11,CI23750
73837_11,CI24438
73838_11,CI28586
73845_11,CI25149
73846_11,CI23663
73847_11,CI28196
73852_11,CI24527
73854_11,CI23691
73861_11,CI23975
73864_11,CI26170
73865_11,CI26160
73867_11,CI24228
73868_11,CI26783
73869_11,CI23921
73871_11,CI24868
73873_11,CI23648
73877_11,CI24868
73882_11,CI23662
73883_11,CI23663
73884_11,CI25674
73887_11,CI23924
73889_11,CI24954
73891_11,CI24257
73893_11,CI24598
73896_11,CI24459
73897_11,CI23856
73909_11,CI24862
73911_11,CI24235
73912_11,CI24958
73923_11,CI23663
73924_11,CI24968
73925_11,CI23870
73926_11,CI26918
73929_11,CI26898
73931_11,CI26221
73935_11,CI26221
73937_11,CI25073
73941_11,CI26935
73943_11,CI24992
73944_11,CI23848
73950_11,CI25135
73953_11,CI23874
73956_11,CI26871
73959_11,CI26833
73963_11,CI23761
73966_11,CI24633
73968_11,CI24440
73970_11,CI23703
73971_11,CI24068
73972_11,CI25468
73973_11,CI24957
73975_11,CI23513
73980_11,CI27193
73984_11,CI25769
73990_11,CI24228
73994_11,CI25442
73995_11,CI23913
73996_11,CI25078
73997_11,CI23880
73999_11,CI26190
74002_11,CI26386
74003_11,CI26866
74004_11,CI27255
74007_11,CI27049
74010_11,CI25075
74015_11,CI23769
74017_11,CI23663
74018_11,CI24228
74021_11,CI25769
74024_11,CI24958
74026_11,CI25068
74027_11,CI24188
74028_11,CI23994
74031_11,CI23769
74034_11,CI27193
74040_11,CI24531
74041_11,CI25141
74052_11,CI25074
74057_11,CI26074
74058_11,CI26415
74061_11,CI26413
74066_11,CI25029
74067_11,CI24871
74069_11,CI23839
74073_11,CI24081
74074_11,CI23663
74081_11,CI24532
74082_11,CI26059
74083_11,CI24915
74087_11,CI26190
74089_11,CI27473
74090_11,CI26160
74099_11,CI28586
74100_11,CI26699
74103_11,CI27158
74104_11,CI26190
74119_11,CI23975
74121_11,CI26050
74126_11,CI23691
74127_11,CI26578
74131_11,CI24892
74134_11,CI24927
74137_11,CI24992
74138_11,CI25141
74140_11,CI27798
74142_11,CI27797
74144_11,CI25055
74146_11,CI23691
74153_11,CI24277
74156_11,CI27797
74157_11,CI25135
74167_11,CI27798
74171_11,CI24741
74172_11,CI27031
74174_11,CI25135
74178_11,CI24418
74188_11,CI24421
74192_11,CI27796
74197_11,CI23913
74199_11,CI25362
74200_11,CI24865
74205_11,CI25126
74209_11,CI27797
74215_11,CI25136
74217_11,CI26820
74218_11,CI26837
74220_11,CI27802
74221_11,CI26836
74225_11,CI26501
74228_11,CI23663
74230_11,CI23770
74233_11,CI27799
74234_11,CI26191
74235_11,CI26931
74236_11,CI27031
74239_11,CI27798
74242_11,CI25135
74247_11,CI24953
74248_11,CI24690
74250_11,CI26931
74252_11,CI25214
74253_11,CI26931
74254_11,CI23921
74258_11,CI24969
74263_11,CI27789
74264_11,CI26912
74265_11,CI27784
74266_11,CI27796
74270_11,CI26191
74272_11,CI27270
74273_11,CI24440
74278_11,CI27796
74279_11,CI27798
74282_11,CI26912
74284_11,CI27806
74285_11,CI24891
74286_11,CI27789
74287_11,CI25082
74289_11,CI26933
74293_11,CI27797
74297_11,CI27797
74299_11,CI26934
74303_11,CI26929
74311_11,CI23887
74312_11,CI24672
74313_11,CI25055
74314_11,CI24490
74315_11,CI23810
74316_11,CI26924
74317_11,CI24421
74318_11,CI24760
74319_11,CI25074
74322_11,CI25108
74331_11,CI25247
74335_11,CI26914
74337_11,CI26929
74342_11,CI24081
74345_11,CI23764
74346_11,CI26920
74349_11,CI26920
74352_11,CI26055
74354_11,CI25107
74356_11,CI23561
74357_11,CI23933
74360_11,CI27137
74363_11,CI26919
74366_11,CI25298
74377_11,CI26918
74378_11,CI26916
74379_11,CI24868
74380_11,CI26931
74385_11,CI26923
74390_11,CI27035
74392_11,CI24257
74393_11,CI26819
74395_11,CI27539
74399_11,CI26987
74400_11,CI24902
74402_11,CI25496
74403_11,CI24599
74409_11,CI24621
74411_11,CI25034
74413_11,CI23848
74414_11,CI28568
74416_11,CI26907
74417_11,CI26919
74419_11,CI24421
74420_11,CI27797
74433_11,CI26190
74434_11,CI26919
74444_11,CI25103
74446_11,CI24942
74447_11,CI24261
74449_11,CI23848
74450_11,CI23663
74451_11,CI25149
74452_11,CI25442
74456_11,CI24953
74459_11,CI24418
74460_11,CI24148
74466_11,CI25135
74467_11,CI27991
74474_11,CI24644
74475_11,CI23869
74478_11,CI23933
74479_11,CI23691
74482_11,CI24206
74484_11,CI24338
74487_11,CI23709
74489_11,CI24210
74490_11,CI24099
74491_11,CI26926
74495_11,CI23663
74500_11,CI26861
74502_11,CI24521
74503_11,CI25022
74509_11,CI23922
74510_11,CI25498
74513_11,CI26681
74514_11,CI23696
74515_11,CI26176
74518_11,CI26930
74521_11,CI26986
74525_11,CI24230
74526_11,CI25027
74532_11,CI24109
74533_11,CI26501
74537_11,CI23933
74540_11,CI23479
74545_11,CI28253
74547_11,CI26915
74550_11,CI26864
74551_11,CI26930
74553_11,CI26929
74554_11,CI23546
74556_11,CI24958
74557_11,CI27791
74558_11,CI26185
74559_11,CI25077
74560_11,CI26930
74563_11,CI23760
74568_11,CI24110
74570_11,CI24883
74571_11,CI25024
74574_11,CI24261
74575_11,CI24956
74577_11,CI26929
74578_11,CI25497
74579_11,CI24530
74580_11,CI24866
74583_11,CI26919
74585_11,CI25124
74588_11,CI24272
74592_11,CI23546
74594_11,CI24109
74596_11,CI25336
74600_11,CI26969
74604_11,CI27010
74605_11,CI27805
74608_11,CI26932
74611_11,CI25135
74612_11,CI24114
74614_11,CI24230
74615_11,CI24348
74618_11,CI26862
74620_11,CI23702
74622_11,CI24962
74628_11,CI25108
74631_11,CI25029
74633_11,CI26156
74636_11,CI23648
74637_11,CI24871
74642_11,CI24572
74643_11,CI24086
74646_11,CI26873
74649_11,CI23688
74651_11,CI24679
74655_11,CI26922
74659_11,CI26925
74661_11,CI26916
74663_11,CI28581
74664_11,CI26927
74671_11,CI26912
74673_11,CI26930
74675_11,CI24927
74680_11,CI26927
74681_11,CI25501
74684_11,CI27003
74685_11,CI26925
74691_11,CI26930
74692_11,CI26931
74695_11,CI24727
74700_11,CI26919
74703_11,CI26856
74704_11,CI26931
74705_11,CI27745
74706_11,CI26931
74708_11,CI26931
74716_11,CI26916
74717_11,CI26915
74718_11,CI26922
74719_11,CI26927
74720_11,CI24962
74721_11,CI26925
74722_11,CI27158
74724_11,CI26909
74725_11,CI26927
74731_11,CI26914
74735_11,CI26935
74738_11,CI26247
74742_11,CI24525
74743_11,CI24535
74745_11,CI27791
74753_11,CI24440
74756_11,CI24866
74758_11,CI23888
74759_11,CI28880
74761_11,CI23812
74765_11,CI26920
74767_11,CI26211
74768_11,CI26907
74770_11,CI24840
74772_11,CI28572
74773_11,CI24531
74777_11,CI25234
74781_11,CI25075
74788_11,CI23811
74789_11,CI25103
74792_11,CI23932
74796_11,CI27658
74799_11,CI24917
74805_11,CI26908
74810_11,CI23692
74812_11,CI25023
74818_11,CI26925
74822_11,CI26915
74828_11,CI26922
74829_11,CI27438
74831_11,CI24917
74832_11,CI26922
74833_11,CI25093
74834_11,CI26921
74836_11,CI26921
74839_11,CI23770
74840_11,CI26915
74841_11,CI26925
74842_11,CI24399
74843_11,CI25034
74844_11,CI23975
74849_11,CI26915
74851_11,CI24257
74852_11,CI26921
74853_11,CI24883
74864_11,CI28253
74866_11,CI24867
74871_11,CI23667
74877_11,CI25140
74878_11,CI25681
74879_11,CI24880
74881_11,CI28698
74884_11,CI24661
74886_11,CI26908
74888_11,CI25175
74890_11,CI25416
74891_11,CI26914
74894_11,CI26925
74896_11,CI27263
74897_11,CI25074
74898_11,CI23714
74899_11,CI24724
74900_11,CI24968
74904_11,CI25062
74908_11,CI25039
74910_11,CI23676
74915_11,CI26925
74917_11,CI26925
74925_11,CI26909
74926_11,CI26923
74927_11,CI26211
74930_11,CI26909
74931_11,CI26914
74933_11,CI26922
74934_11,CI26925
74935_11,CI26923
74937_11,CI26909
74938_11,CI25436
74944_11,CI23887
74945_11,CI24866
74948_11,CI24866
74953_11,CI24883
74954_11,CI23769
74959_11,CI25075
74960_11,CI26909
74961_11,CI23691
74962_11,CI26859
74963_11,CI26925
74964_11,CI24527
74966_11,CI28569
74973_11,CI26925
74974_11,CI24876
74978_11,CI26925
74979_11,CI24426
74982_11,CI26909
74984_11,CI23839
74986_11,CI26913
74989_11,CI26913
74992_11,CI24868
74994_11,CI26913
74998_11,CI26902
75001_11,CI25057
75004_11,CI24876
75008_11,CI27796
75009_11,CI24907
75011_11,CI26862
75012_11,CI27798
75014_11,CI27810
75016_11,CI26902
75019_11,CI25066
75023_11,CI26985
75025_11,CI27798
75029_11,CI27780
75030_11,CI27778
75031_11,CI27796
75039_11,CI27653
75042_11,CI25295
75048_11,CI24257
75051_11,CI26846
75059_11,CI23616
75068_11,CI27798
75069_11,CI26934
75070_11,CI26933
75071_11,CI25999
75072_11,CI24257
75073_11,CI26286
75075_11,CI24527
75077_11,CI26934
75078_11,CI26916
75083_11,CI26925
75085_11,CI26921
75089_11,CI27808
75090_11,CI26902
75092_11,CI26932
75094_11,CI27807
75099_11,CI24421
75101_11,CI26932
75106_11,CI25143
75107_11,CI26919
75108_11,CI26923
75112_11,CI28256
75113_11,CI25141
75116_11,CI25840
75119_11,CI24857
75121_11,CI26925
75122_11,CI26913
75125_11,CI26913
75132_11,CI26912
75133_11,CI27809
75134_11,CI26912
75136_11,CI24929
75137_11,CI26931
75139_11,CI24228
75140_11,CI24867
75141_11,CI26935
75145_11,CI25107
75147_11,CI24419
75150_11,CI26912
75151_11,CI26951
75159_11,CI26926
75167_11,CI26931
75169_11,CI26929
75176_11,CI27798
75177_11,CI23848
75179_11,CI26930
75182_11,CI26931
75187_11,CI26920
75189_11,CI26923
75191_11,CI26920
75194_11,CI27435
75195_11,CI26187
75197_11,CI24438
75201_11,CI27797
75203_11,CI27790
75206_11,CI27798
75207_11,CI27792
75208_11,CI25057
75209_11,CI27717
75211_11,CI23946
75212_11,CI27794
75216_11,CI25778
75219_11,CI27922
75220_11,CI26920
75222_11,CI26916
75225_11,CI23663
75226_11,CI23513
75230_11,CI26916
75231_11,CI26873
75232_11,CI27611
75235_11,CI24915
75237_11,CI24692
75238_11,CI24692
75240_11,CI26875
75241_11,CI23663
75247_11,CI26915
75251_11,CI26185
75256_11,CI25141
75265_11,CI26944
75266_11,CI25056
75272_11,CI24895
75273_11,CI25075
75279_11,CI27427
75282_11,CI27596
75283_11,CI26926
75287_11,CI26935
75290_11,CI27798
75291_11,CI26923
75293_11,CI26985
75296_11,CI26953
75301_11,CI27798
75302_11,CI25295
75303_11,CI24892
75307_11,CI26951
75312_11,CI27790
75318_11,CI23933
75321_11,CI25075
75322_11,CI24114
75325_11,CI24532
75330_11,CI26915
75335_11,CI26926
75337_11,CI26843
75342_11,CI26934
75343_11,CI27807
75346_11,CI27806
75347_11,CI26934
75349_11,CI24348
75350_11,CI25180
75355_11,CI26953
75356_11,CI26180
75361_11,CI24930
75362_11,CI24957
75363_11,CI26955
75369_11,CI26951
75372_11,CI26207
75386_11,CI26873
75387_11,CI24436
75389_11,CI24007
75390_11,CI25125
75392_11,CI27962
75394_11,CI24349
75396_11,CI26905
75397_11,CI25045
75399_11,CI25172
75404_11,CI24372
75406_11,CI28585
75407_11,CI24440
75409_11,CI25105
75411_11,CI24787
75412_11,CI25829
75415_11,CI23992
75417_11,CI24956
75420_11,CI26952
75424_11,CI26903
75425_11,CI24907
75429_11,CI25101
75430_11,CI25057
75432_11,CI26505
75433_11,CI23975
75435_11,CI24650
75440_11,CI24534
75442_11,CI23688
75443_11,CI25107
75445_11,CI25149
75447_11,CI23675
75451_11,CI23848
75452_11,CI24081
75454_11,CI23663
75455_11,CI25075
75458_11,CI27679
75459_11,CI27680
75462_11,CI25024
75463_11,CI23663
75464_11,CI24268
75465_11,CI25361
75466_11,CI24719
75468_11,CI24418
75470_11,CI25105
75477_11,CI23702
75478_11,CI25082
75481_11,CI28253
75482_11,CI25143
75483_11,CI28030
75486_11,CI25732
75489_11,CI24534
75493_11,CI24521
75497_11,CI24081
75500_11,CI23910
75503_11,CI23932
75504_11,CI24867
75505_11,CI23669
75506_11,CI25054
75509_11,CI24203
75512_11,CI25022
75516_11,CI24228
75517_11,CI24100
75518_11,CI26508
75524_11,CI25057
75527_11,CI27235
75528_11,CI26220
75529_11,CI26915
75531_11,CI27676
75532_11,CI27031
75535_11,CI27051
75540_11,CI24874
75542_11,CI26873
75543_11,CI26052
75544_11,CI26985
75546_11,CI26413
75550_11,CI26083
75551_11,CI25143
75553_11,CI27779
75558_11,CI26920
75569_11,CI26915
75572_11,CI26913
75575_11,CI26052
75576_11,CI26925
75577_11,CI24437
75579_11,CI26925
75584_11,CI24094
75586_11,CI27049
75590_11,CI24056
75593_11,CI24701
75594_11,CI26925
75595_11,CI24672
75596_11,CI25149
75597_11,CI27048
75598_11,CI24892
75603_11,CI25108
75604_11,CI26916
75605_11,CI23968
75606_11,CI26055
75608_11,CI24081
75609_11,CI26953
75611_11,CI24637
75612_11,CI25039
75619_11,CI27137
75623_11,CI25142
75625_11,CI24228
75626_11,CI24184
75636_11,CI26985
75638_11,CI24610
75642_11,CI25728
75644_11,CI24261
75645_11,CI28574
75649_11,CI27957
75651_11,CI27050
75653_11,CI25090
75657_11,CI26859
75660_11,CI26903
75662_11,CI23856
75663_11,CI26902
75664_11,CI26915
75667_11,CI27992
75668_11,CI26926
75670_11,CI24187
75674_11,CI26909
75680_11,CI26173
75683_11,CI26948
75684_11,CI26902
75685_11,CI25631
75689_11,CI26951
75690_11,CI26930
75695_11,CI26181
75697_11,CI26931
75701_11,CI26778
