TITLE,RESTAURANT_ID,CUISINES,TIME,CITY,LOCALITY,RATING,VOTES,COST,,,,,,,,,,,,,,,,,,,
CASUAL,8002,Hyderabadi,7,Secunderabad,Railway,2.9,50,700,,,,,,,,,,,,,,,,,,,
QUICK,15442,Arabian,12,Palarivattom,Suranbhi,4.2,300,300,,,,,,,,,,,,,,,,,,,
LOUNGE,7467,North,1,Hyderabad,Gachibowli,4.3,657,1500,,,,,,,,,,,,,,,,,,,
CASUAL,11753,North,12,Bangalore,JP,4.3,393,1200,,,,,,,,,,,,,,,,,,,
CASUAL,9968,Biryani,12,Hyderabad,Madhapur,3.2,76,500,,,,,,,,,,,,,,,,,,,
QUICK,505,North,0:00,Hyderabad,Erragadda,2.5,61,400,,,,,,,,,,,,,,,,,,,
DESSERT,8530,Desserts,11,Hyderabad,Charminar,4.3,467,200,,,,,,,,,,,,,,,,,,,
CASUAL,520,Arabian,1,Hyderabad,Chandrayanagutta,3.6,238,400,,,,,,,,,,,,,,,,,,,
QUICK,11931,Beverages,1,Mumbai,Andheri,4.1,79,400,,,,,,,,,,,,,,,,,,,
QUICK,8289,Biryani,9,Chennai,Maduravoyal,3.6,42,150,,,,,,,,,,,,,,,,,,,
FINE,15167,Japanese,0:00,Mumbai,Colaba,4.4,592,10000,,,,,,,,,,,,,,,,,,,
CAFÉ,7810,Cafe,9,Maharashtra,Mumbai,4.3,1288,1200,,,,,,,,,,,,,,,,,,,
CASUAL,12811,North,11,New Delhi,Paharganj,3.6,20,600,,,,,,,,,,,,,,,,,,,
QUICK,7292,North,11,Chennai,Alwarpet,NEW,,300,,,,,,,,,,,,,,,,,,,
CASUAL,15043,North,0:00,Mumbai,Ghatkopar,3.8,1288,1000,,,,,,,,,,,,,,,,,,,
CASUAL,8723,Maharashtrian,0:00,Thane West,Panch,3.9,842,900,,,,,,,,,,,,,,,,,,,
None,15562,Healthy,7,Hyderabad,Gachibowli,4.4,587,500,,,,,,,,,,,,,,,,,,,
CASUAL,15097,South,7,Mumbai,Khar,3.8,707,500,,,,,,,,,,,,,,,,,,,
QUICK,7240,Kerala,9,Brigade Road,Ashok,3.1,33,200,,,,,,,,,,,,,,,,,,,
QUICK,7630,Italian,12,Mumbai.,Santacruz,3.9,137,1200,,,,,,,,,,,,,,,,,,,
QUICK,12590,Pizza,11,Mumbai Andheri East,Marol,3.8,852,600,,,,,,,,,,,,,,,,,,,
CAFÉ,3369,Cafe,10,Chennai,RA,3.9,52,500,,,,,,,,,,,,,,,,,,,
CASUAL,5142,Chinese,11,Virar West,Behind,4.0,235,1000,,,,,,,,,,,,,,,,,,,
CASUAL,4775,North,11,Chennai,Injambakkam,3.3,197,700,,,,,,,,,,,,,,,,,,,
QUICK,11997,Arabian,0:00,Hyderabad,Malakpet,3.7,55,150,,,,,,,,,,,,,,,,,,,
CASUAL,5397,North,11,Hyderabad,Kacheguda,3.6,237,800,,,,,,,,,,,,,,,,,,,
COCKTAIL,9937,Italian,0:00,New Delhi,Greater,4.1,199,2000,,,,,,,,,,,,,,,,,,,
QUICK,13700,Fast,0:00,Bangalore,JP,3.4,5,400,,,,,,,,,,,,,,,,,,,
BAKERY,13620,Bakery,0:00,New Delhi,Rohini,3.8,155,350,,,,,,,,,,,,,,,,,,,
DESSERT,15137,Desserts,0:00,Mumbai,Chembur,4.1,199,300,,,,,,,,,,,,,,,,,,,
PUB,82,Continental,12,Bangalore,Old,4.3,1673,2000,,,,,,,,,,,,,,,,,,,
QUICK,9708,North,10,Kochi,Nedumbassery,-,,200,,,,,,,,,,,,,,,,,,,
QUICK,3727,North,12,Kochi,Chullickal,3.3,13,300,,,,,,,,,,,,,,,,,,,
BAR,3643,Continental,12,Hyderabad,Jubilee,4.4,525,1000,,,,,,,,,,,,,,,,,,,
QUICK,6094,Kerala,12,Kochi,Kakkanad,3.6,184,450,,,,,,,,,,,,,,,,,,,
CASUAL,12159,North,9,Mumbai,Borivali,3.7,289,500,,,,,,,,,,,,,,,,,,,
None,12487,American,6,New Delhi,Greater,4.6,343,800,,,,,,,,,,,,,,,,,,,
QUICK,8211,Chettinad,11,Chennai,Tambaram,3.6,71,250,,,,,,,,,,,,,,,,,,,
CAFÉ,7767,Cafe,0:00,Bangalore,Indiranagar,4.4,1148,800,,,,,,,,,,,,,,,,,,,
CASUAL,1683,North,7,Chennai,Tambaram,3.2,29,350,,,,,,,,,,,,,,,,,,,
LOUNGE,4304,North,12,Mumbai,Mira,4.0,61,1500,,,,,,,,,,,,,,,,,,,
CASUAL,1647,North,0:00,Bangalore,Yelahanka,3.6,76,750,,,,,,,,,,,,,,,,,,,
FOOD,5273,Biryani,(Mo,Bangalore,Nagarbhavi,NEW,,250,,,,,,,,,,,,,,,,,,,
QUICK,3030,Fast,9,Bangalore,Rajarajeshwari,3.7,23,300,,,,,,,,,,,,,,,,,,,
QUICK,438,North,12,Hyderabad,Panjagutta,4.2,569,300,,,,,,,,,,,,,,,,,,,
CASUAL,2652,Kerala,0:00,Kochi,Ernakulam,-,,500,,,,,,,,,,,,,,,,,,,
None,11147,North,0:00,New Delhi,Mayur,3.7,76,500,,,,,,,,,,,,,,,,,,,
QUICK,1578,Arabian,12,Kochi,Aluva,4.2,51,250,,,,,,,,,,,,,,,,,,,
CASUAL,14828,South,12,Hyderabad,Lingampally,2.9,174,600,,,,,,,,,,,,,,,,,,,
BAKERY,3239,Bakery,0:00,Secunderabad,Bowenpally,3.5,85,250,,,,,,,,,,,,,,,,,,,
QUICK,6139,Kerala,11,Kochi,Kalamassery,3.3,8,250,,,,,,,,,,,,,,,,,,,
QUICK,8171,South,9,New Delhi,IP,3.8,136,150,,,,,,,,,,,,,,,,,,,
CASUAL,8250,Healthy,8,Hyderabad,Isha,4.2,87,700,,,,,,,,,,,,,,,,,27,Jubilee,Hills
QUICK,9616,Chinese,11,Secunderabad,Karkhana,2.9,144,450,,,,,,,,,,,,,,,,,,,
CAFÉ,2161,Cafe,7,Chennai,MRC,4.5,257,1350,,,,,,,,,,,,,,,,,,,
CASUAL,14553,Chinese,10,Mumbai,Kandivali,3.4,24,600,,,,,,,,,,,,,,,,,,,
CASUAL,9787,Arabian,0:00,Bangalore,Kumaraswamy,3.3,522,650,,,,,,,,,,,,,,,,,,,
None,2889,Chinese,0:00,Chennai,Ambattur,3.7,296,300,,,,,,,,,,,,,,,,,,,
BAKERY,9334,Bakery,12,Hyderabad,Sanjeeva,3.3,67,200,,,,,,,,,,,,,,,,,,,
CASUAL,7522,South,0:00,Chennai,Nungambakkam,3.6,1143,850,,,,,,,,,,,,,,,,,,,
QUICK,4784,Fast,11,Chennai,Ashok,3.3,12,250,,,,,,,,,,,,,,,,,,,
CASUAL,434,Kerala,0:00,Kochi,Kaloor,3.0,4,200,,,,,,,,,,,,,,,,,,,
CASUAL,5699,Continental,0:00,Bangalore,Old,4.1,353,900,,,,,,,,,,,,,,,,,,,
CASUAL,14508,North,12,New Delhi,Rajouri,4.1,1195,1400,,,,,,,,,,,,,,,,,,,
CASUAL,10916,North,Closed,Bangalore,Cunningham,4.0,381,850,,,,,,,,,,,,,,,,,,,
QUICK,1954,Street,5,Hyderabad,Koti,3.5,228,150,,,,,,,,,,,,,,,,,,,
CASUAL,4157,European,Closed,Bandra West,Linking,3.6,404,1200,,,,,,,,,,,,,,,,,,,
QUICK,3859,North,10,Hyderabad,Gachibowli,2.6,32,250,,,,,,,,,,,,,,,,,,,
CASUAL,9826,Chinese,12,Hyderabad,Hitech,4.2,130,800,,,,,,,,,,,,,,,,,,,
QUICK,793,Andhra,11,B-1 Stage,Maruthi,4.0,199,400,,,,,,,,,,,,,,,,,,,
None,11653,North,0:00,Gurgaon,Old,3.6,62,700,,,,,,,,,,,,,,,,,,,
CASUAL,1313,North,7,Bangalore,Basavanagudi,3.8,531,500,,,,,,,,,,,,,,,,,,,
QUICK,11266,Street,0:00,Secunderabad,Alwal,3.0,43,250,,,,,,,,,,,,,,,,,,,
CASUAL,14209,North,7,Bangalore,Jayanagar,4.2,815,900,,,,,,,,,,,,,,,,,,,
QUICK,9852,South,11,Kochi,Nedumbassery,-,,250,,,,,,,,,,,,,,,,,,,
QUICK,730,North,11,Bangalore,JP,4.0,266,300,,,,,,,,,,,,,,,,,,,
MICROBREWERY,14802,Finger,0:00,Gurgaon,DLF,4.2,649,1500,,,,,,,,,,,,,,,,,,,
CAFÉ,11640,Cafe,8,Chennai,Nungambakkam,4.4,2139,1400,,,,,,,,,,,,,,,,,,,
BAKERY,12907,Bakery,11,Chennai,Ashok,3.0,25,300,,,,,,,,,,,,,,,,,,,
CASUAL,8978,North,12,Ghaziabad,Sahibabad,3.7,32,800,,,,,,,,,,,,,,,,,,,
BAKERY,3325,Bakery,8,Kochi,Chullickal,-,,100,,,,,,,,,,,,,,,,,,,
BAR,7804,Finger,11,Chennai,Egatoor,3.6,28,1000,,,,,,,,,,,,,,,,,,,
None,4757,Pizza,11,Mumbai,Kandivali,NEW,,250,,,,,,,,,,,,,,,,,,,
None,8051,North,7,Bangalore,HSR,NEW,,450,,,,,,,,,,,,,,,,,,,
CASUAL,2718,South,12mid,Bangalore,Church,4.2,221,1000,,,,,,,,,,,,,,,,,,,
FINE,11592,Seafood,7,Chennai,Thiruvanmiyur,3.7,112,1400,,,,,,,,,,,,,,,,,,,
BAKERY,2637,Bakery,11,Chennai,Nungambakkam,NEW,,300,,,,,,,,,,,,,,,,,,,
DESSERT,3163,Desserts,0:00,Bengaluru,BTM,4.4,63,300,,,,,,,,,,,,,,,,,,,
LOUNGE,2119,Italian,12,Mumbai,Powai,4.1,4582,2400,,,,,,,,,,,,,,,,,,,
CASUAL,2765,Mughlai,11,Secunderabad,Uppal,4.0,1635,800,,,,,,,,,,,,,,,,,,,
CASUAL,8150,North,12,Hyderabad,Ameerpet,3.8,262,600,,,,,,,,,,,,,,,,,,,
CASUAL,11062,Chinese,0:00,Thane,Thane,NEW,,800,,,,,,,,,,,,,,,,,,,
CASUAL,1830,Biryani,12,Hyderabad,Hitech,3.2,653,600,,,,,,,,,,,,,,,,,,,
DESSERT,3071,Desserts,0:00,Bangalore,BTM,3.5,10,250,,,,,,,,,,,,,,,,,,,
QUICK,6321,North,11,Bangalore,Varthur,3.9,31,400,,,,,,,,,,,,,,,,,,,
CASUAL,5645,Continental,0:00,Bangalore,Indiranagar,4.4,129,1200,,,,,,,,,,,,,,,,,,,
FOOD,8459,North,11,Bangalore,Malleshwaram,2.8,79,550,,,,,,,,,,,,,,,,,,,
QUICK,9044,Continental,1,Hyderabad,Gachibowli,3.3,44,300,,,,,,,,,,,,,,,,,,,
CASUAL,14677,Kerala,0:00,Kochi,Ravipuram,2.7,16,800,,,,,,,,,,,,,,,,,,,
BAR,1732,American,12,Chennai,Kodambakkam,4.2,1193,1500,,,,,,,,,,,,,,,,,,,
QUICK,6617,Juices,11,Hyderabad,Mehdipatnam,4.1,212,200,,,,,,,,,,,,,,,,,,,
QUICK,1394,North,11,Hyderabad,Nagole,3.8,122,500,,,,,,,,,,,,,,,,,,,
CASUAL,1635,Chinese,12,Hyderabad,Gachibowli,4.2,706,800,,,,,,,,,,,,,,,,,,,
QUICK,8630,North,1,Gurgaon,South,4.8,388,600,,,,,,,,,,,,,,,,,,,
CASUAL,8588,North,12,Secunderabad,Karkhana,4.2,1354,700,,,,,,,,,,,,,,,,,,,
CASUAL,5480,Street,10,Mumbai,Dadar,4.1,672,300,,,,,,,,,,,,,,,,,,,
CASUAL,2689,Chinese,0:00,Thane West,Naupada,4.0,820,550,,,,,,,,,,,,,,,,,,,
CASUAL,13283,Rajasthani,11,Madhapur,Beside,2.7,145,550,,,,,,,,,,,,,,,,,,,
FINE,12501,North,12,New Delhi,Rohini,4.0,454,3500,,,,,,,,,,,,,,,,,,,
QUICK,3211,Gujarati,0:00,Mumbai,Kandivali,3.7,137,500,,,,,,,,,,,,,,,,,,,
CASUAL,7476,Konkan,11,Mumbai,Goregaon,3.8,356,500,,,,,,,,,,,,,,,,,,,
None,1750,Burger,11,New Delhi,Okhla,4.3,39,400,,,,,,,,,,,,,,,,,,,
QUICK,11963,Street,11,Chennai,Anna,3.8,92,200,,,,,,,,,,,,,,,,,,,
QUICK,3508,Fast,12,Hyderabad,Musheerabad,3.2,265,250,,,,,,,,,,,,,,,,,,,
QUICK,14595,South,12,Chennai,Velachery,2.9,44,300,,,,,,,,,,,,,,,,,,,
QUICK,15476,Biryani,0:00,Chennai,Mogappair,3.2,37,150,,,,,,,,,,,,,,,,,,,
BAR,380,Continental,12mid,Bangalore,Kalyan,4.0,397,1300,,,,,,,,,,,,,,,,,,,
DESSERT,4935,Fast,10,Chennai,Chromepet,3.3,36,250,,,,,,,,,,,,,,,,,,,
CAFÉ,11863,Cafe,9,Hyderabad,Kukatpally,3.6,101,400,,,,,,,,,,,,,,,,,,,
CASUAL,10333,Pizza,11,Mumbai,Nalasopara,3.7,330,450,,,,,,,,,,,,,,,,,,,
CASUAL,4758,North,12,Bangalore,Electronic,4.3,1412,900,,,,,,,,,,,,,,,,,,,
CASUAL,3604,Chinese,8,Mumbai,Matunga,3.9,2290,1000,,,,,,,,,,,,,,,,,,,
MESS,423,Biryani,9,Chennai,Vepery,3.8,89,200,,,,,,,,,,,,,,,,,,,
QUICK,6343,Biryani,0:00,Secunderabad,Bowenpally,3.5,110,500,,,,,,,,,,,,,,,,,,,
CAFÉ,2378,Cafe,11,Bangalore,Jayanagar,4.4,137,800,,,,,,,,,,,,,,,,,,,
CASUAL,2655,Kerala,8,Bangalore,Yeshwantpur,3.9,181,450,,,,,,,,,,,,,,,,,,,
DESSERT,3428,Ice,11,Bangalore,Indiranagar,4.7,2199,400,,,,,,,,,,,,,,,,,,,
CASUAL,8776,Chinese,12,Mumbai,Kalyan,4.0,1193,500,,,,,,,,,,,,,,,,,,,
CLUB,708,Continental,12,Hyderabad,Jubilee,4.2,1257,1300,,,,,,,,,,,,,,,,,,,
DESSERT,2026,Ice,12,Bangalore,Sarjapur,3.7,48,200,,,,,,,,,,,,,,,,,,,
CASUAL,3950,Continental,11,Bangalore,Koramangala,4.3,1832,900,,,,,,,,,,,,,,,,,,,
None,13878,Tibetan,Closed,Hyderabad,Kondapur,4.3,280,250,,,,,,,,,,,,,,,,,,,
CASUAL,7932,Italian,12,Bangalore,Indiranagar,4.2,3321,1400,,,,,,,,,,,,,,,,,,,
CASUAL,15008,North,12,Mumbai,Chembur,4.0,117,1500,,,,,,,,,,,,,,,,,,,
CASUAL,9368,Seafood,12,Kochi,Chittoor,4.3,553,1000,,,,,,,,,,,,,,,,,,,
DESSERT,12830,Ice,0:00,Hyderabad,Madhapur,4.7,589,500,,,,,,,,,,,,,,,,,,,
CASUAL,5149,North,12,Mumbai,Vikhroli,4.3,232,1500,,,,,,,,,,,,,,,,,,,
FINE,11955,Chinese,0:00,New Delhi,Connaught,4.0,245,3500,,,,,,,,,,,,,,,,,,,
QUICK,1268,North,0:00,Bangalore,BTM,3.7,199,400,,,,,,,,,,,,,,,,,,,
CAFÉ,9683,Continental,11,Hyderabad,Jubilee,NEW,,750,,,,,,,,,,,,,,,,,,,
CASUAL,12724,South,7,Chennai,Medavakkam,3.6,26,350,,,,,,,,,,,,,,,,,,,
CASUAL,10570,South,8,Hyderabad,Medchal,3.4,64,550,,,,,,,,,,,,,,,,,,,
CAFÉ,13500,Cafe,12,Chennai,Alwarpet,4.1,370,800,,,,,,,,,,,,,,,,,,,
BEVERAGE,2185,Bubble,12,Hyderabad,Gachibowli,4.1,91,350,,,,,,,,,,,,,,,,,,,
QUICK,7608,North,12,Gurgaon,Sector,3.7,248,500,,,,,,,,,,,,,,,,,,,
CASUAL,14135,Pizza,0:00,Faridabad,Sector,4.6,493,700,,,,,,,,,,,,,,,,,,,
QUICK,1026,North,12,Thane,Dombivali,3.5,29,500,,,,,,,,,,,,,,,,,,,
QUICK,5832,North,11,Chennai,Tambaram,3.8,427,400,,,,,,,,,,,,,,,,,,,
CASUAL,5156,South,0:00,Chennai,Thuraipakkam,3.5,315,250,,,,,,,,,,,,,,,,,,,
QUICK,6421,Mughlai,11,Chennai,Mogappair,3.6,322,500,,,,,,,,,,,,,,,,,,,
BAKERY,2754,Bakery,9,Mumbai,Kurla,3.4,34,300,,,,,,,,,,,,,,,,,,,
QUICK,12874,Fast,1,Chennai,Neelangarai,3.6,90,300,,,,,,,,,,,,,,,,,,,
CASUAL,5967,Mediterranean,12,New Delhi,Saket,4.2,92,1600,,,,,,,,,,,,,,,,,,,
LOUNGE,14418,North,12,Mumbai,Vile,4.5,311,1000,,,,,,,,,,,,,,,,,,,
CASUAL,13350,Continental,11,Kochi,Kadavanthra,4.0,89,500,,,,,,,,,,,,,,,,,,,
CASUAL,9238,Wraps,11,Mumbai,Hiranandani,NEW,,500,,,,,,,,,,,,,,,,,,,
None,11030,Chinese,12,Mumbai,Juhu,3.9,103,500,,,,,,,,,,,,,,,,,,,
QUICK,12140,Chinese,0:00,Bangalore,Nagarbhavi,3.8,71,200,,,,,,,,,,,,,,,,,,,
QUICK,12722,South,11,Hyderabad,Dilsukhnagar,3.4,75,200,,,,,,,,,,,,,,,,,,,
QUICK,10321,Healthy,11,Bangalore,Whitefield,4.2,38,500,,,,,,,,,,,,,,,,,,,
CASUAL,4767,North,24,Kochi,Pallimukku,3.8,22,300,,,,,,,,,,,,,,,,,,,
QUICK,13404,Biryani,11,Chennai,Anna,3.3,48,150,,,,,,,,,,,,,,,,,,,
CASUAL,8363,Andhra,12,Chennai,Nungambakkam,4.1,481,600,,,,,,,,,,,,,,,,,,,
QUICK,3386,Fast,0:00,Chennai,Tambaram,3.2,19,300,,,,,,,,,,,,,,,,,,,
QUICK,11696,North,10,Kochi,Vyttila,NEW,,250,,,,,,,,,,,,,,,,,,,
QUICK,6901,Arabian,10,Bangalore,Jayanagar,4.3,797,300,,,,,,,,,,,,,,,,,,,
CAFÉ,13855,Cafe,11,Kochi,Palarivattom,4.2,628,700,,,,,,,,,,,,,,,,,,,
CASUAL,15445,North,12,Mumbai,Lower,4.1,2340,1400,,,,,,,,,,,,,,,,,,,
CASUAL,10792,Chinese,12,Hyderabad,Jubilee,3.7,233,1200,,,,,,,,,,,,,,,,,,,
QUICK,11736,Chinese,11,Chennai,Madhavaram,2.9,35,400,,,,,,,,,,,,,,,,,,,
CASUAL,3212,Chinese,0:00,Hyderabad,Basheer,3.9,860,700,,,,,,,,,,,,,,,,,,,
CASUAL,9227,North,12,Mumbai,Chakala,3.7,368,600,,,,,,,,,,,,,,,,,,,
QUICK,15075,North,0:00,Bangalore,Marathahalli,3.7,137,250,,,,,,,,,,,,,,,,,,,
BAKERY,2173,Bakery,10,Hyderabad,Begumpet,4.0,293,400,,,,,,,,,,,,,,,,,,,
CASUAL,12986,Italian,0:00,Chennai Kovalam,Kovalam,3.9,136,600,,,,,,,,,,,,,,,,,,,
QUICK,4817,Chinese,11,Noida,Sector,3.9,75,500,,,,,,,,,,,,,,,,,,,
QUICK,7931,North,7,Bangalore,KR,NEW,,350,,,,,,,,,,,,,,,,,,,
QUICK,4655,Chinese,12,Bangalore,Kanakapura,3.9,152,450,,,,,,,,,,,,,,,,,,,
None,3695,North,1,New Delhi,Kamla,3.8,179,450,,,,,,,,,,,,,,,,,,,
KIOSK,15120,Desserts,4,Chennai,Alwarpet,3.8,20,150,,,,,,,,,,,,,,,,,,,
CASUAL,1169,South,0:00,Kochi,Kakkanad,3.6,200,300,,,,,,,,,,,,,,,,,,,
QUICK,12151,North,0:00,New Delhi,Rohini,4.0,716,400,,,,,,,,,,,,,,,,,,,
QUICK,6503,South,7,Hyderabad,Hitech,3.6,175,200,,,,,,,,,,,,,,,,,,,
CAFÉ,8985,Pizza,0:00,Bangalore,Ulsoor,4.2,388,500,,,,,,,,,,,,,,,,,,,
DESSERT,739,Desserts,Not,Kochi,Edappally,2.8,6,200,,,,,,,,,,,,,,,,,,,
QUICK,12423,North,11,New Delhi,Nehru,3.9,448,500,,,,,,,,,,,,,,,,,,,
PUB,12327,Continental,12,Bangalore,Nagawara,3.9,336,1100,,,,,,,,,,,,,,,,,,,
QUICK,5463,North,0:00,New Delhi,Dilshad,3.7,378,400,,,,,,,,,,,,,,,,,,,
QUICK,5848,Street,11,Chennai,Vepery,3.7,83,200,,,,,,,,,,,,,,,,,,,
None,4614,South,11,Chennai,Mogappair,3.4,28,300,,,,,,,,,,,,,,,,,,,
QUICK,11287,Fast,9,Kochi,Edappally,-,,200,,,,,,,,,,,,,,,,,,,
None,45,Pizza,1,New Delhi,Paschim,NEW,,400,,,,,,,,,,,,,,,,,,,
BAKERY,5425,Bakery,11,Hyderabad,Banjara,4.4,1789,800,,,,,,,,,,,,,,,,,,,
CASUAL,7227,Sushi,0:00,Mumbai,Amateurs,4.3,575,1500,,,,,,,,,,,,,,,,,,,
None,13030,North,11,Gurgaon,Ardee,NEW,,700,,,,,,,,,,,,,,,,,,,
FINE,3382,Continental,0:00,Kochi,Bolgatty,4.0,45,3600,,,,,,,,,,,,,,,,,,,
CASUAL,14532,North,12,Hyderabad,Madhapur,2.3,63,600,,,,,,,,,,,,,,,,,,,
CASUAL,13105,Continental,12,Bangalore,HSR,4.8,7346,1000,,,,,,,,,,,,,,,,,,,
CASUAL,5794,Chinese,11,New Delhi,Defence,4.0,536,700,,,,,,,,,,,,,,,,,,,
CASUAL,2725,North,12,Bandra West,Carter,4.2,2394,900,,,,,,,,,,,,,,,,,,,
QUICK,8264,North,0:00,Hyderabad.,Himayath,4.1,555,200,,,,,,,,,,,,,,,,,,,
QUICK,6355,Pizza,11,Navi Mumbai,Old,3.7,29,300,,,,,,,,,,,,,,,,,,,
PUB,11557,Continental,0:00,Bangalore,Jayanagar,4.1,459,1200,,,,,,,,,,,,,,,,,,,
CAFÉ,4,Cafe,0:00,New Delhi,Satyaniketan,4.0,1269,800,,,,,,,,,,,,,,,,,,,
CASUAL,7421,American,0:00,Mumbai,Chowpatty,3.8,598,1500,,,,,,,,,,,,,,,,,,,
QUICK,3158,Street,0:00,Chennai,Thiruvanmiyur,3.4,29,400,,,,,,,,,,,,,,,,,,,
QUICK,13052,South,12,Mumbai,Goregaon,4.0,420,400,,,,,,,,,,,,,,,,,,,
CAFÉ,14201,Cafe,11,Mumbai,Lower,4.1,3256,1000,,,,,,,,,,,,,,,,,,,
BAKERY,2620,Bakery,9,Chennai,Nungambakkam,4.1,521,300,,,,,,,,,,,,,,,,,,,
None,13957,North,6,Gurgaon,DLF,3.8,127,400,,,,,,,,,,,,,,,,,,,
None,602,North,0:00,New Delhi,Chanakyapuri,4.0,692,800,,,,,,,,,,,,,,,,,,,
CASUAL,1746,North,11,Chennai,Arumbakkam,3.3,37,500,,,,,,,,,,,,,,,,,,,
QUICK,10824,South,(Mo,Aluva,Manjapetty,3.3,6,313,,,,,,,,,,,,,,,,,,,
CASUAL,10574,South,7,Navi Mumbai,Airoli,3.8,394,500,,,,,,,,,,,,,,,,,,,
QUICK,8220,South,0:00,Chennai,Thiruvanmiyur,3.5,52,300,,,,,,,,,,,,,,,,,,,
QUICK,2315,Fast,24,Noida,Sector,2.9,215,500,,,,,,,,,,,,,,,,,,,
CAFÉ,2126,Cafe,7,Kochi,Vyttila,-,,700,,,,,,,,,,,,,,,,,,,
BAKERY,13627,Bakery,9,Chennai,Kodambakkam,-,,300,,,,,,,,,,,,,,,,,,,
QUICK,6462,South,12,Mumbai,Kandivali,NEW,,250,,,,,,,,,,,,,,,,,,,
QUICK,13185,North,10,Kochi,Kakkanad,3.6,80,200,,,,,,,,,,,,,,,,,,,
QUICK,15065,Desserts,11,Hyderabad,Kukatpally,3.5,52,150,,,,,,,,,,,,,,,,,,,
QUICK,5378,Biryani,11,Bangalore,Jalahalli,4.1,1416,500,,,,,,,,,,,,,,,,,,,
QUICK,11299,North,11,Noida,Sector,4.4,242,400,,,,,,,,,,,,,,,,,,,
QUICK,81,Continental,1,Secunderabad,Sainikpuri,3.2,72,400,,,,,,,,,,,,,,,,,,,
CASUAL,4433,Juices,9,Mumbai,Powai,3.7,178,700,,,,,,,,,,,,,,,,,,,
QUICK,4030,American,12,New Delhi,Vasant,3.7,39,700,,,,,,,,,,,,,,,,,,,
CASUAL,8568,Japanese,12,Bangalore,Lavelle,4.4,189,1800,,,,,,,,,,,,,,,,,,,
CASUAL,14339,South,8,Kochi,Fort,-,,400,,,,,,,,,,,,,,,,,,,
QUICK,12787,North,9,New Delhi,Raja,3.8,123,450,,,,,,,,,,,,,,,,,,,
BAKERY,14506,Bakery,9,Hyderabad,Adikmet,3.7,188,300,,,,,,,,,,,,,,,,,,,
QUICK,2291,Chinese,7,Hyderabad,TKR,3.8,162,250,,,,,,,,,,,,,,,,,,,
FOOD,11175,Rolls,5,Hyderabad,Amberpet,4.1,211,200,,,,,,,,,,,,,,,,,,,
None,2204,Mughlai,12,New Delhi,Chandni,4.2,40,600,,,,,,,,,,,,,,,,,,,
CASUAL,2740,Continental,12,Hyderabad,Kompally,3.4,41,1200,,,,,,,,,,,,,,,,,,,
FOOD,5234,Andhra,11,Hyderabad,Banjara,3.6,89,550,,,,,,,,,,,,,,,,,,,
CASUAL,12347,North,12,Chennai,Vadapalani,3.9,67,1500,,,,,,,,,,,,,,,,,,,
QUICK,13280,South,24,Bangalore,BIAL,-,,400,,,,,,,,,,,,,,,,,,,
QUICK,14949,North,11,Hyderabad,Abids,4.0,198,200,,,,,,,,,,,,,,,,,,,
QUICK,9531,South,8,Bangalore,Nagawara,3.8,103,300,,,,,,,,,,,,,,,,,,,
QUICK,108,North,0:00,New Delhi,Greater,3.5,33,700,,,,,,,,,,,,,,,,,,,
None,14967,Fast,12,Gurgaon,DLF,3.8,27,400,,,,,,,,,,,,,,,,,,,
BEVERAGE,7264,Beverages,11,Bandra West,Carter,3.8,961,400,,,,,,,,,,,,,,,,,,,
QUICK,669,Biryani,11,Bangalore,Koramangala,4.2,445,250,,,,,,,,,,,,,,,,,,,
CASUAL,5712,North,12,Hyderabad,Kompally,4.3,365,850,,,,,,,,,,,,,,,,,,,
QUICK,6118,South,11,Chennai,8th,3.6,53,200,,,,,,,,,,,,,,,,,,,
QUICK,6770,Street,8,New Delhi,Kirti,3.6,76,150,,,,,,,,,,,,,,,,,,,
QUICK,12165,North,0:00,Bangalore,Basavanagudi,3.3,8,300,,,,,,,,,,,,,,,,,,,
QUICK,15248,Burger,10,Hyderabad,Moosapet,3.7,254,500,,,,,,,,,,,,,,,,,,,
CASUAL,2472,Chinese,24,Bangalore,Whitefield,4.2,521,2000,,,,,,,,,,,,,,,,,,,
QUICK,8944,Fast,0:00,Delhi NCR,New,4.4,186,450,,,,,,,,,,,,,,,,,,,
None,452,North,0:00,Chennai,Sholinganallur,3.5,192,400,,,,,,,,,,,,,,,,,,,
CASUAL,12638,North,6,Hyderabad,Kondapur,3.6,278,200,,,,,,,,,,,,,,,,,,,
CASUAL,5238,North,0:00,Kochi,Fort,-,,800,,,,,,,,,,,,,,,,,,,
CASUAL,3098,Chinese,0:00,Mumbai,Kemps,3.7,591,1500,,,,,,,,,,,,,,,,,,,
None,14542,Fast,4,Chennai,Neelangarai,2.9,133,400,,,,,,,,,,,,,,,,,,,
BAKERY,1344,Bakery,0:00,Chennai,Mylapore,3.8,118,300,,,,,,,,,,,,,,,,,,,
QUICK,2350,Biryani,11,Kochi,Edappally,-,,500,,,,,,,,,,,,,,,,,,,
DESSERT,8799,Ice,12,Mumbai,Virar,3.8,58,200,,,,,,,,,,,,,,,,,,,
BAR,4330,Modern,5,New Delhi,Defence,4.1,465,2000,,,,,,,,,,,,,,,,,,,
CASUAL,4423,Continental,10,Mumbai,Thane,3.8,661,1200,,,,,,,,,,,,,,,,,,,
