Allied_Nations,Diplomatic_Meetings_Set,Percent_Of_Forces_Mobilized,Hostile_Nations,Active_Threats,Inactive_Threats,Citizen_Fear_Index,Closest_Threat_Distance(km),Aircraft_Carriers_Responding,Troops_Mobilized(thousands),DEFCON_Level,ID
6,1,0,2,6,13,0.303230543,383.72,1,1012000,D,12307
8,0,0.6,3,3,10,0.204845815,356.16,1,1144000,D,5068
6,1,0.05,1,41,85,0.266519824,362.52,0,1020800,B,362
8,1,0.1,3,18,40,0.552863436,364.64,1,880000,C,5520
8,1,0.1,3,9,26,0.403817915,356.16,1,924000,C,776
6,0,0.24,2,27,48,0.33773862,378.42,1,994400,C,1803
7,0,0.42,2,21,48,0.582232012,368.88,1,809600,B,3649
7,0,0.29,2,20,49,0.485315712,366.76,0,836000,B,171
8,0,0.4,5,7,17,0.344346549,345.56,1,994400,D,1917
11,0,0.56,3,16,41,0.508810573,330.72,1,1100000,D,1538
8,1,0.21,2,14,35,0.508810573,356.16,1,836000,C,5343
7,1,0,2,4,11,0.285609398,358.28,1,915200,A,8355
8,1,0.34,2,24,122,0.475770925,340.26,1,818400,B,6960
12,0,0.69,3,10,25,0.685022026,328.6,1,950400,D,11644
11,0,0.48,2,6,14,0.626284875,322.24,1,844800,B,6195
10,0,0.37,2,14,19,0.435389134,305.28,1,1126400,F,12424
8,0,0.59,2,9,26,0.494126285,356.16,1,924000,C,4711
10,0,0.37,3,14,27,0.773127753,337.08,1,836000,C,8339
9,1,0.1,3,6,24,0.552863436,333.9,1,880000,C,11077
8,1,0.21,2,32,131,0.406020558,340.26,1,836000,B,10706
8,1,0.05,2,10,35,0.420704846,354.04,1,924000,C,8435
8,1,0.31,2,11,41,0.54185022,350.86,1,818400,B,4988
7,0,0.08,2,9,28,0.494126285,365.7,1,800800,B,12052
10,0,0.55,2,42,80,0.54845815,358.28,1,844800,C,7535
8,1,0.27,2,17,108,0.508810573,345.56,0,844800,B,7693
9,0,0.37,2,43,80,0.592511013,364.64,1,836000,B,3563
7,0,0.2,2,8,17,0.254772394,357.22,0,1100000,C,6079
7,0,0.12,2,16,61,0.413362702,330.72,0,809600,C,11249
10,0,0.41,3,6,35,0.535242291,337.08,1,1038400,C,7385
10,0,0.46,2,5,17,0.471365639,328.6,1,985600,D,7361
9,0,0.43,2,12,27,0.373715125,351.92,1,1091200,D,5054
8,1,0.23,2,17,108,0.450073421,349.8,1,862400,B,4876
9,1,0.68,2,30,134,0.545521292,337.08,1,818400,B,12178
8,1,0.16,2,11,65,0.494126285,356.16,1,827200,B,6794
9,1,0.09,2,8,28,0.457415565,330.72,0,853600,B,7500
8,0,0.49,2,47,135,0.574889868,336.02,1,836000,B,10043
7,0,0,1,21,58,0.395007342,360.4,0,976800,C,6573
7,0,0.11,2,12,30,0.444933921,349.8,1,862400,C,9543
9,1,0,3,11,14,0.646842878,359.34,1,871200,C,6331
12,0,0.52,2,15,47,0.72907489,329.66,0,836000,B,11593
8,1,0,2,13,24,0.406020558,368.88,1,1012000,D,6668
10,1,0.39,3,29,53,0.736417034,357.22,1,1012000,D,11649
9,0,0.23,3,13,28,0.464757709,338.14,1,836000,C,1953
9,0,0.39,2,12,25,0.479441997,364.64,1,888800,B,10623
6,0,0.14,2,7,34,0.113803231,373.12,1,1193866.667,B,632
8,1,0.29,2,23,81,0.508810573,333.9,1,836000,B,9237
11,0,0.5,2,6,24,0.626284875,336.02,1,836000,B,1800
7,1,0.26,3,31,96,0.472099853,344.5,1,897600,B,5932
13,0,0.52,3,17,47,0.684287812,315.88,1,932800,B,1508
6,0,0.15,2,10,23,0.398678414,372.06,1,836000,B,11798
6,1,0.06,2,19,30,0.354625551,375.24,1,1003200,A,8348
9,0,0.3,3,10,31,0.464757709,336.02,1,1038400,C,3979
7,1,0.02,2,6,13,0.425844347,359.34,0,862400,B,4927
6,1,0.66,2,30,134,0.082966226,344.5,0,1232000,D,743
7,1,0.03,2,21,99,0.450073421,364.64,1,897600,B,9857
10,0,0.53,2,3,8,0.339941263,341.32,1,1029600,C,9756
13,0,0.74,3,23,101,0.802496329,334.96,1,880000,C,5971
8,0,0.36,2,21,60,0.5969163,350.86,1,853600,C,1314
7,0,0.14,2,13,37,0.435389134,359.34,0,888800,C,3771
11,0,0.39,2,3,13,0.508810573,332.84,0,924000,F,9096
8,0,0.2,3,8,35,0.685022026,381.6,1,897600,D,7697
8,0,0.42,2,23,73,0.538179148,361.46,1,827200,B,5659
10,1,0.24,2,13,21,0.457415565,336.02,0,871200,B,7811
6,1,0.1,2,13,80,0.245227606,384.78,1,1082400,C,3033
7,0,0.27,2,21,53,0.589574156,368.88,1,836000,C,7046
7,0,0.07,2,19,40,0.432452276,381.6,1,976800,B,3852
10,0,0.64,4,6,20,0.508810573,334.96,1,994400,D,3153
6,1,0,2,3,14,0.272393539,358.28,0,968000,C,5966
7,1,0.06,3,8,28,0.453010279,366.76,1,941600,B,3859
10,0,0.31,2,5,16,0.40969163,338.14,1,985600,C,7590
10,0,0.49,3,4,12,0.582232012,337.08,1,1073600,C,284
6,1,0.1,2,13,26,0.260646109,378.42,1,1003200,B,4079
7,1,0.09,2,4,13,0.285609398,352.98,0,994400,B,7516
7,0,0.28,2,19,37,0.376651982,357.22,1,994400,C,12064
11,0,0.43,3,7,20,0.72907489,329.66,1,880000,C,2003
7,1,0.08,4,6,33,0.407488987,349.8,1,950400,B,2575
11,0,0.45,3,34,119,0.5969163,342.38,1,959200,B,7471
7,1,0.05,2,12,88,0.450073421,380.54,1,968000,A,6207
11,0,0.57,2,6,18,0.626284875,336.02,1,739200,B,10275
8,1,0.13,2,7,29,0.464757709,343.44,1,836000,B,9686
10,0,0.63,4,7,38,0.457415565,322.24,1,1064800,D,10974
8,1,0.26,2,42,98,0.357562408,349.8,1,1020800,C,3196
8,0,0.42,2,18,30,0.376651982,357.22,1,888800,C,10317
8,1,0.21,2,21,84,0.571218796,338.14,1,800800,B,5602
7,0,0.26,2,3,15,0.435389134,352.98,1,818400,C,10580
8,0,0.3,2,2,11,0.358296623,351.92,1,1029600,D,8918
8,1,0.05,2,8,25,0.485315712,351.92,1,862400,B,9464
8,0,0.37,2,36,67,0.435389134,359.34,1,827200,C,5198
9,1,0.23,3,28,65,0.685022026,334.96,1,844800,A,7342
9,0,0.51,2,45,102,0.567547724,367.82,1,950400,B,9043
7,1,0.01,2,8,15,0.228340675,351.92,1,1064800,D,5412
12,0,0.58,3,19,64,0.699706314,337.08,1,1012000,D,11049
9,1,0.17,2,3,12,0.56020558,339.2,1,853600,B,8351
8,0,0.42,2,12,19,0.437591777,346.62,1,1003200,B,5053
8,1,0.21,2,4,16,0.534508076,357.22,1,950400,B,10216
8,0,0.27,2,18,38,0.400881057,334.96,1,880000,D,7834
9,1,0.18,4,11,104,0.685022026,337.08,1,809600,B,9144
7,0,0.29,2,26,51,0.450073421,363.58,1,932800,C,2352
7,1,0.26,7,23,143,0.589574156,366.76,1,827200,B,1259
8,0,0.4,6,10,21,0.508810573,355.1,1,1126400,C,3621
9,0,0.47,2,6,13,0.347283407,333.9,1,1003200,D,502
8,0,0.3,2,8,35,0.435389134,348.74,1,853600,B,10045
7,1,0.1,1,13,38,0.456681351,354.04,1,818400,B,10318
9,0,0.34,2,5,10,0.484581498,350.86,1,906400,C,994
7,1,0.14,2,9,29,0.444199706,374.18,1,968000,A,10688
8,1,0,2,6,13,0.430249633,374.18,1,1126400,A,6568
6,1,0.01,4,21,44,0.353157122,380.54,1,1012000,C,8393
10,0,0.49,3,11,51,0.580763583,328.6,1,888800,C,5103
12,0,0.66,3,10,23,0.640969163,322.24,1,1003200,C,11714
10,0,0.5,4,9,28,0.54185022,337.08,1,1056000,C,11989
10,1,0.19,3,37,73,0.629955947,361.46,1,827200,C,5558
9,0,0.32,3,4,12,0.418502203,344.5,1,1038400,D,5627
9,0,0.35,2,3,14,0.417767988,349.8,1,968000,D,1960
9,0,0.46,9,3,8,0.831864905,368.88,1,959200,C,9000
8,1,0.05,2,10,35,0.508810573,354.04,1,862400,C,4188
8,1,0.01,3,11,20,0.464757709,358.28,1,924000,D,11443
10,1,0.23,3,33,152,0.582232012,344.5,1,1038400,C,12401
10,1,0.25,2,5,35,0.424375918,332.84,1,915200,C,7719
5,1,0.18,2,13,32,0.188693098,375.24,1,1135200,D,966
10,1,0.24,2,35,155,0.567547724,332.84,1,818400,B,11018
8,0,0.33,2,16,144,0.494126285,344.5,1,818400,B,5348
9,0,0.34,2,12,23,0.399412628,346.62,1,1056000,D,3117
8,1,0.23,2,13,63,0.5,350.86,1,827200,B,3130
8,1,0.12,2,24,89,0.472099853,346.62,1,871200,B,12429
8,1,0.19,2,36,44,0.267254038,328.6,0,1082400,C,984
7,1,0.2,8,30,121,0.522026432,354.04,0,836000,B,4696
12,0,0.49,3,19,53,0.736417034,344.5,1,959200,D,3993
9,1,0.24,3,29,139,0.5969163,343.44,1,836000,B,10348
8,0,0.36,2,5,16,0.381057269,346.62,1,1038400,D,1550
9,1,0.33,2,4,10,0.484581498,350.86,1,941600,B,9267
8,0,0.31,2,32,75,0.420704846,355.1,1,862400,B,11588
7,1,0.07,2,17,24,0.316446402,330.72,0,862400,B,6513
8,0,0.53,2,18,60,0.552863436,359.34,1,809600,C,6802
8,1,0,2,6,12,0.430249633,356.16,1,897600,C,2489
9,1,0.1,2,9,48,0.599853157,375.24,1,818400,C,7993
8,0,0.3,2,8,17,0.42804699,334.96,1,827200,B,10484
9,1,0,2,19,39,0.552863436,352.98,1,818400,C,3699
8,0,0.26,2,9,28,0.553597651,350.86,1,809600,B,6831
12,0,0.49,4,54,54,0.758443465,358.28,1,959200,D,7724
9,0,0.49,2,26,85,0.567547724,342.38,1,800800,B,3367
8,0,0.49,3,11,30,0.545521292,354.04,1,1100000,D,5581
8,1,0.22,3,14,38,0.494126285,354.04,1,880000,C,2603
8,0,0.4,2,6,17,0.295888399,352.98,1,1038400,D,9549
9,1,0.14,2,10,54,0.479441997,328.6,1,853600,B,9298
9,0,0.31,3,21,111,0.671806167,350.86,1,827200,B,8605
8,0,0.21,2,26,102,0.472099853,343.44,1,836000,B,11664
10,0,0.46,3,7,21,0.626284875,332.84,1,924000,C,4137
7,0,0.33,2,18,47,0.485315712,368.88,1,897600,C,6034
13,0,0.72,3,17,43,0.684287812,318,1,950400,B,7457
10,0,0.36,2,31,51,0.491189427,334.96,1,906400,C,614
9,1,0.26,2,23,147,0.599118943,354.04,1,827200,B,7904
7,1,0.03,2,27,43,0.378120411,354.04,1,959200,C,10438
13,0,0.62,3,13,32,0.626284875,340.26,1,950400,D,2604
7,1,0.03,6,32,134,0.589574156,348.74,1,827200,B,11551
9,0,0.46,5,15,47,0.626284875,337.08,0,836000,B,1790
6,1,0.02,2,18,52,0.382525698,369.94,0,906400,B,242
10,1,0.42,3,5,19,0.57195301,341.32,1,1073600,C,1262
7,1,0.02,2,8,46,0.417767988,363.58,0,924000,B,10715
7,1,0.07,1,17,33,0.398678414,349.8,1,844800,B,4870
10,1,0.26,2,6,35,0.72907489,344.5,1,932800,C,3695
8,0,0.34,2,11,26,0.42143906,345.56,1,827200,B,3552
8,1,0.16,2,6,19,0.52349486,342.38,1,792000,C,2734
11,0,0.49,3,5,21,0.52349486,341.32,1,1029600,C,4313
9,1,0.12,2,10,35,0.589574156,360.4,0,836000,B,163
8,0,0.49,2,26,57,0.501468429,360.4,1,809600,C,2800
8,1,0,3,25,61,0.552863436,354.04,1,836000,C,10765
6,0,0.08,2,13,33,0.45814978,377.36,1,968000,A,9297
7,0,0.27,2,21,42,0.485315712,362.52,1,853600,B,2618
9,0,0.42,2,11,24,0.284140969,346.62,1,1003200,B,11947
9,0,0.45,3,26,60,0.5969163,341.32,1,836000,C,4756
7,0,0.14,2,15,50,0.420704846,359.34,1,809600,C,10884
8,0,0.4,5,3,9,0.342143906,373.12,1,1038400,C,4322
8,0,0.44,2,6,12,0.392804699,350.86,1,932800,C,9474
13,0,0.66,3,6,15,0.773127753,334.96,1,853600,C,8731
8,1,0.13,3,14,57,0.74743025,372.06,1,968000,C,8261
8,1,0.01,2,17,32,0.464757709,345.56,1,880000,D,10759
13,1,0.63,2,6,26,0.685022026,328.6,1,959200,B,2312
8,0,0.31,2,8,11,0.302496329,346.62,1,1091200,D,4180
7,1,0,2,16,26,0.406020558,357.22,1,853600,B,5730
6,1,0.14,2,9,36,0.33773862,373.12,1,1100000,C,8617
7,1,0.01,2,24,94,0.540381791,391.14,1,862400,B,2837
9,0,0.28,2,27,72,0.537444934,333.9,1,844800,B,4841
7,0,0.24,2,30,45,0.470631424,356.16,1,827200,B,10058
11,0,0.73,5,6,22,0.52349486,339.2,1,1056000,B,11331
7,0,0.64,2,24,149,0.382525698,328.6,1,985600,C,12183
7,1,0.12,2,34,51,0.410425844,340.26,1,871200,B,4819
5,1,0,2,15,33,0.244493392,371,1,1144000,B,1782
7,1,0.02,2,17,34,0.408957416,354.04,1,880000,B,4821
10,0,0.47,2,9,21,0.48825257,339.2,1,1038400,C,11074
6,1,0.06,2,5,11,0.399412628,380.54,1,976800,B,12132
8,0,0.49,2,21,121,0.530837004,343.44,1,809600,B,570
6,1,0,1,17,24,0.135095448,380.54,1,1126400,C,12355
7,1,0.07,1,16,49,0.457415565,350.86,1,818400,B,11746
11,0,0.57,3,16,39,0.508810573,339.2,1,1100000,C,121
12,0,0.51,2,7,26,0.626284875,316.94,1,880000,C,577
7,0,0.21,2,24,61,0.251835536,357.22,1,968000,C,1028
9,0,0.45,2,7,15,0.561674009,347.68,0,836000,B,10286
11,1,0.55,2,7,60,0.457415565,331.78,1,818400,B,793
8,0,0.2,2,10,48,0.413362702,347.68,1,844800,B,5562
9,0,0.41,2,15,47,0.381057269,345.56,1,968000,B,2387
8,1,0,2,10,34,0.567547724,354.04,1,862400,C,8618
6,1,0.1,2,34,89,0.168135095,351.92,1,1038400,D,8948
8,0,0.29,2,20,71,0.503671072,336.02,1,809600,B,9574
9,0,0.32,2,21,72,0.501468429,332.84,1,897600,B,772
10,0,0.63,2,7,27,0.46328928,349.8,1,1082400,C,6251
8,0,0.46,3,7,21,0.472099853,349.8,1,906400,C,11771
8,1,0.21,2,32,89,0.410425844,351.92,1,862400,B,774
5,0,0.26,2,5,12,0.413362702,400.68,1,836000,B,6689
7,1,0.14,2,13,29,0.286343612,357.22,1,915200,C,6299
8,0,0.34,2,16,38,0.354625551,360.4,1,968000,C,11003
6,1,0.21,4,15,104,0.376651982,351.92,1,985600,B,7848
8,0,0.63,2,14,19,0.392804699,327.54,1,950400,D,2717
8,0,0.39,2,12,96,0.494126285,333.9,1,800800,B,4848
10,0,0.37,2,27,90,0.640969163,347.68,1,827200,B,4905
10,1,0.26,2,7,42,0.479441997,338.14,1,880000,C,8124
10,0,0.49,2,6,24,0.567547724,333.9,1,950400,C,6532
7,0,0.01,1,26,42,0.417767988,355.1,1,1029600,C,11544
7,1,0.26,5,12,104,0.501468429,345.56,0,827200,C,9322
11,0,0.45,2,11,33,0.626284875,322.24,1,1012000,D,11530
6,1,0.1,2,27,40,0.257709251,351.92,1,968000,C,6091
8,1,0.52,2,12,88,0.447136564,342.38,1,818400,B,3453
12,0,0.49,5,19,64,0.567547724,309.52,1,888800,C,8375
7,1,0.13,2,15,34,0.52349486,367.82,1,809600,B,576
9,1,0.04,2,4,12,0.401615272,349.8,1,968000,A,9428
6,1,0,3,11,34,0.359030837,371,1,1012000,C,8003
7,1,0.02,2,17,30,0.517621145,367.82,1,871200,D,11295
8,1,0.2,1,10,73,0.530837004,345.56,1,836000,B,1847
9,0,0.31,2,4,28,0.53671072,347.68,1,915200,C,5070
8,0,0.26,2,10,28,0.553597651,364.64,0,880000,C,1429
7,1,0.07,3,5,20,0.425110132,358.28,0,941600,C,131
8,1,0,2,9,25,0.604258443,341.32,1,818400,B,4451
9,1,0.05,3,17,36,0.640969163,356.16,1,853600,B,3293
8,1,0,3,11,31,0.567547724,363.58,1,897600,C,11818
8,1,0.13,2,7,23,0.486784141,354.04,1,818400,C,32
8,1,0.15,4,52,71,0.485315712,345.56,0,827200,B,7507
8,1,0,2,9,22,0.552863436,341.32,1,818400,A,9872
10,0,0.49,2,15,37,0.42804699,342.38,1,1020800,D,2282
10,0,0.2,6,10,49,0.662995595,343.44,0,827200,C,6638
10,0,0.43,2,21,65,0.66886931,346.62,1,827200,B,545
9,1,0.22,2,5,15,0.640969163,361.46,1,840400,B,7527
6,1,0.1,3,13,38,0.219530103,358.28,1,924000,B,5215
7,1,0.15,2,6,24,0.508810573,367.82,1,818400,C,12321
7,1,0.33,2,35,102,0.406020558,364.64,1,994400,C,2070
11,1,0.66,2,12,41,0.419236417,347.68,1,836000,B,4999
8,0,0.34,2,11,41,0.435389134,346.62,1,862400,B,262
7,0,0.11,2,16,82,0.406020558,380.54,1,897600,B,10850
8,1,0.22,2,10,43,0.383994126,355.1,1,959200,B,7306
10,1,0.27,2,22,99,0.802496329,332.84,1,1020800,C,1546
6,1,0.06,2,38,52,0.416299559,378.42,1,968000,C,5179
8,1,0.1,3,18,49,0.538179148,334.96,1,800800,B,12137
7,0,0.08,2,9,28,0.441997063,362.52,1,880000,C,2482
7,1,0.19,5,51,98,0.450807636,351.92,1,915200,B,1785
8,1,0.08,2,5,11,0.450073421,362.52,0,836000,A,6258
7,1,0.2,2,7,62,0.508810573,362.52,1,800800,B,11665
9,0,0.46,1,34,59,0.360499266,333.9,1,1073600,D,7464
8,0,0.27,2,5,12,0.358296623,366.76,1,1082400,A,70
10,1,0.27,2,21,68,0.802496329,343.44,1,994400,B,4775
9,0,0.23,3,16,125,0.671806167,350.86,1,827200,B,3077
9,0,0.21,2,41,77,0.508076358,367.82,1,844800,B,7107
7,1,0.05,4,15,17,0.475770925,382.66,1,968000,A,3742
10,1,0.64,2,6,19,0.424375918,349.8,1,836000,C,9708
8,0,0.42,2,12,24,0.486784141,365.7,1,906400,C,9162
8,0,0.56,1,5,17,0.406020558,344.5,1,1003200,D,919
12,0,0.59,2,15,75,0.60866373,321.18,1,800800,B,10174
8,1,0.22,2,9,86,0.535242291,342.38,0,853600,C,8693
7,1,0.06,2,5,11,0.346549192,374.18,1,950400,B,829
8,1,0.05,2,8,32,0.542584435,359.34,1,844800,B,7059
6,1,0,2,8,18,0.398678414,368.88,1,941600,A,6068
8,0,0.09,2,10,67,0.472099853,329.66,1,862400,C,10734
7,1,0.2,2,12,32,0.444199706,355.1,0,906400,B,1788
8,0,0.49,2,20,57,0.52349486,350.86,1,809600,C,8462
8,1,0.14,2,10,44,0.417767988,349.8,1,871200,C,10201
9,0,0.21,3,20,110,0.633627019,350.86,1,924000,D,2171
16,0,0.49,4,7,29,0.552863436,337.08,1,1108800,D,1878
12,0,0.51,2,15,47,0.707048458,330.72,1,906400,C,8560
7,1,0.06,3,8,23,0.375183554,362.52,1,888800,A,11812
9,1,0.24,3,9,37,0.640969163,354.04,1,827200,B,654
11,0,0.48,3,5,21,0.640969163,330.72,1,932800,D,12260
8,0,0.36,2,7,20,0.167400881,347.68,1,1152800,D,4763
7,1,0.02,2,5,20,0.501468429,374.18,1,862400,B,7856
6,1,0,2,6,12,0.398678414,380.54,0,1126400,A,4199
9,0,0.3,3,35,135,0.552863436,328.6,1,818400,B,11413
8,0,0.32,2,17,38,0.442731278,358.28,1,968000,B,8965
8,0,0.42,2,23,73,0.48825257,352.98,1,827200,B,4683
7,1,0.02,2,17,26,0.286343612,355.1,1,994400,C,7829
7,1,0.03,2,27,99,0.435389134,351.92,1,862400,B,12241
6,1,0.12,2,13,80,0.39133627,384.78,1,915200,B,3610
9,0,0.34,2,5,13,0.582232012,342.38,1,924000,F,11113
10,0,0.54,2,5,10,0.54185022,333.9,1,862400,C,7786
9,0,0.41,2,6,16,0.51174743,350.86,1,932800,C,3930
9,0,0.46,2,19,52,0.310572687,339.2,1,1073600,C,10845
9,0,0.24,7,18,45,0.906754772,347.68,0,836000,B,12171
7,1,0,2,4,8,0.510279001,344.5,1,844800,B,4054
10,0,0.5,2,6,24,0.552863436,332.84,1,968000,D,2847
8,0,0.26,2,10,28,0.424375918,359.34,1,897600,C,83
6,0,0.1,1,12,28,0.398678414,354.04,1,809600,B,2361
11,1,0.38,7,68,121,0.714390602,339.2,1,809600,B,7625
8,0,0.39,2,10,46,0.519089574,361.46,1,906400,C,10541
8,1,0.09,2,7,28,0.438325991,351.92,0,897600,B,11837
7,1,0.25,2,32,69,0.420704846,362.52,1,924000,B,5156
8,0,0.57,2,24,121,0.501468429,342.38,1,800800,B,3817
8,0,0.44,4,12,27,0.472099853,350.86,1,1126400,F,8893
8,1,0.42,2,12,28,0.52349486,360.4,1,924000,B,1951
6,1,0.14,2,15,34,0.260646109,379.48,1,1144000,B,4057
9,0,0.46,5,10,22,0.338472834,354.04,1,1108800,D,2912
7,1,0.02,2,17,31,0.408957416,363.58,1,976800,C,2000
6,1,0.09,2,15,64,0.42804699,384.78,1,915200,B,11194
11,1,0.43,2,35,147,0.546989721,358.28,1,862400,B,3450
10,0,0.56,2,3,10,0.345814978,341.32,1,1047200,C,10917
7,1,0.05,2,7,19,0.461820852,357.22,0,880000,C,189
8,1,0.27,3,5,14,0.388399413,357.22,0,1020800,A,2514
7,1,0.03,2,36,52,0.441262849,373.12,1,875600,B,1263
9,1,0.14,3,11,59,0.640969163,364.64,1,1012000,C,10031
9,1,0.18,3,9,104,0.572687225,356.16,1,827200,B,6203
5,0,0.24,2,4,7,0.284875184,378.42,1,1012000,B,8099
12,0,0.54,2,25,50,0.707048458,322.24,1,862400,C,8727
8,1,0.49,3,38,69,0.604258443,357.22,1,924000,B,8241
6,1,0.12,2,12,28,0.45814978,381.6,1,915200,C,3045
9,1,0.26,2,9,48,0.593245228,346.62,1,853600,B,10946
5,0,0,2,18,33,0.112334802,369.94,1,1232000,C,2578
7,0,0.18,3,15,31,0.483113069,364.64,1,968000,B,6211
7,1,0.17,2,6,48,0.369309838,352.98,1,985600,B,2383
6,1,0,2,6,12,0.303230543,383.72,1,1029600,C,10046
11,1,0.43,2,5,19,0.640969163,322.24,1,818400,B,1674
9,1,0.02,3,11,35,0.685022026,350.86,1,836000,B,4373
9,1,0.31,3,25,143,0.573421439,342.38,1,853600,B,8320
11,0,0.42,4,7,13,0.552863436,337.08,1,1179200,D,8678
10,0,0.52,2,7,21,0.567547724,327.54,1,950400,D,10507
6,1,0.04,2,12,20,0.219530103,378.42,1,1100000,B,10053
8,0,0.32,2,24,122,0.494126285,339.2,1,862400,B,9711
9,0,0.35,2,13,45,0.479441997,355.1,1,924000,C,5621
10,1,0.32,3,22,53,0.582232012,330.72,1,897600,B,7097
6,0,0.09,2,9,37,0.426578561,387.96,1,915200,B,5296
8,0,0.42,2,18,43,0.552863436,363.58,1,906400,C,5139
9,0,0.5,2,16,43,0.501468429,352.98,1,888800,C,10281
8,1,0.16,2,11,73,0.457415565,338.14,1,862400,B,2629
8,0,0.24,2,23,51,0.516152717,357.22,1,941600,C,10448
8,0,0.4,2,6,11,0.237885463,347.68,1,1073600,D,152
12,0,0.49,3,26,55,0.685022026,333.9,1,880000,C,9364
8,1,0.2,2,7,21,0.545521292,345.56,1,792000,C,6559
8,1,0.6,2,15,90,0.494126285,352.98,1,809600,C,7131
7,1,0.03,3,6,12,0.486049927,358.28,1,880000,B,8702
6,0,0.04,2,18,49,0.241556535,381.6,1,1047200,C,7252
10,0,0.38,2,14,19,0.4030837,338.14,1,1126400,D,7128
8,1,0.06,2,5,11,0.450073421,359.34,1,915200,C,449
7,1,0.03,2,7,28,0.52349486,358.28,1,871200,D,9687
9,0,0.49,2,39,165,0.567547724,333.9,1,818400,B,1860
7,0,0.21,2,7,22,0.316446402,326.48,0,862400,B,4590
8,0,0.49,3,21,77,0.52349486,361.46,1,924000,B,2463
7,1,0.35,2,51,145,0.450073421,347.68,1,871200,B,6714
6,0,0.09,1,15,28,0.135095448,358.28,1,1073600,F,4922
5,0,0.24,2,18,34,0.119676946,392.2,1,1047200,D,5172
6,0,0.53,2,9,20,0.244493392,352.98,1,1047200,D,4321
6,1,0.08,2,13,21,0.45814978,371,1,968000,C,7970
11,0,0.69,5,6,15,0.52349486,337.08,1,1311200,F,2647
9,0,0.24,3,14,37,0.464757709,333.9,1,827200,B,2584
7,1,0.06,6,14,18,0.450073421,364.64,1,924000,B,6670
8,1,0.12,3,20,48,0.74743025,371,1,880000,C,9962
7,0,0.44,2,14,67,0.508810573,364.64,1,809600,C,1561
6,1,0.08,2,16,89,0.419236417,384.78,1,915200,B,11492
7,0,0.48,2,7,26,0.470631424,351.92,1,924000,C,2424
7,1,0.02,2,37,111,0.357562408,330.72,0,818400,B,4205
12,0,0.57,3,35,119,0.746696035,349.8,1,836000,B,792
8,1,0.7,2,30,141,0.494126285,319.06,1,836000,B,7206
9,0,0.43,3,7,16,0.3979442,337.08,1,976800,D,7234
9,1,0.33,2,16,72,0.450073421,322.24,1,1038400,D,10421
7,0,0.31,2,31,70,0.520558003,362.52,1,818400,B,8852
6,1,0.08,2,32,89,0.419236417,373.12,1,871200,B,5501
9,0,0.5,2,15,38,0.452276065,356.16,1,1047200,D,1173
8,0,0.29,3,18,95,0.339941263,351.92,1,1126400,C,8204
10,0,0.46,2,6,9,0.340675477,337.08,0,1047200,D,7922
8,1,0.1,2,28,55,0.492657856,351.92,1,818400,B,11767
8,0,0.29,2,13,26,0.435389134,350.86,1,959200,C,6126
10,1,0.24,2,12,42,0.457415565,331.78,0,844800,B,9369
12,0,0.49,4,4,8,0.589574156,325.42,1,1047200,D,6355
7,0,0.18,3,12,25,0.453010279,348.74,1,950400,D,496
7,1,0,2,22,41,0.458883994,354.04,0,827200,B,10614
8,1,0.03,2,4,8,0.486784141,371,0,853600,A,7141
6,1,0.15,2,22,35,0.225403818,356.16,1,1117600,C,4460
8,0,0.27,2,18,34,0.432452276,334.96,1,906400,C,4653
8,1,0.31,2,11,65,0.491923642,365.7,1,827200,B,6533
6,1,0.15,2,22,40,0.372246696,378.42,1,976800,C,4042
6,1,0,2,8,14,0.479441997,374.18,1,836000,C,11727
11,0,0.44,3,19,64,0.569016153,334.96,1,844800,B,1020
10,0,0.5,2,6,20,0.496328928,338.14,1,1003200,D,7723
7,0,0.26,2,5,16,0.450073421,361.46,1,915200,B,2465
8,0,0.43,2,31,45,0.450073421,358.28,1,1003200,C,3039
8,1,0.2,2,17,94,0.398678414,345.56,1,862400,C,8564
7,1,0.06,2,8,28,0.567547724,376.3,1,818400,B,251
8,1,0.03,2,7,15,0.377386197,351.92,1,946000,B,2131
8,1,0.01,2,31,46,0.378120411,364.64,1,1056000,C,4977
7,1,0.21,2,15,77,0.508810573,344.5,1,836000,C,1239
8,0,0.32,3,26,58,0.52349486,350.86,1,906400,C,6107
10,0,0.47,3,11,25,0.535242291,355.1,1,1029600,D,9563
8,0,0.14,2,6,12,0.52349486,336.02,1,800800,C,4285
8,0,0.35,2,21,60,0.5969163,350.86,1,950400,C,985
7,1,0.05,2,18,44,0.457415565,348.74,0,880000,B,3124
7,1,0.06,2,5,20,0.479441997,374.18,1,853600,B,3190
10,0,0.42,2,5,12,0.414831131,332.84,1,976800,C,5332
13,1,0.49,2,3,8,0.685022026,321.18,1,897600,A,4915
8,1,0.02,3,14,31,0.464757709,354.04,0,941600,C,5265
9,1,0.11,2,4,14,0.662995595,351.92,1,840400,B,7438
7,0,0.32,2,15,29,0.237151248,354.04,1,1082400,C,3061
9,0,0.48,4,25,90,0.671806167,351.92,1,924000,D,6110
7,0,0.24,2,5,12,0.303230543,359.34,1,985600,C,8836
7,0,0.25,2,23,48,0.420704846,359.34,1,827200,C,12242
8,0,0.36,2,10,29,0.450073421,346.62,1,968000,D,6885
10,0,0.56,2,3,9,0.466226138,334.96,1,1047200,D,10635
