Review Text,Review Title,topic
I was using another brand for several months when i decided to give this one a try.. not as effective. I will be going back to other brand.,Not as effective,Not Effective
"I returned my item in April. Despite opening a return in time, USPS lost it and/or their Dept received it past the 'return window'; neither of which are in my control. Now, I am not receiving a refund and I don't have the item in my possession. They just stole my money. No matter how many times I try to explain this to Customer Service, they push back. This is terrible customer service and should not be an acceptable solution.",RETURNED ITEM WITH NO REFUND.,Shipment and delivery
"Likes: Texture. The orange and lemon flavored chews are delicious! They taste like those orange slice candies!<br /><br />Dislikes: The stawberry ones taste like straight up fish. I realize the product is made with fish, but the lemon and orange ones don’t have a fishy taste at all. The bottle is 1/3 strawberry, so it’s a big waste picking through them.<br /><br />This product would be 5 stars if y’all got rid of the strawberry flavor. Did no one do a taste panel to make sure these weren’t gross? As a pregnant woman, I almost puked when I tried the stawberry. Do better, ""X Brand""!",Stawberry Flavor is Fishy!!!,Ingredients
"Likes: Texture. The orange and lemon flavored chews are delicious! They taste like those orange slice candies!<br /><br />Dislikes: The stawberry ones taste like straight up fish. I realize the product is made with fish, but the lemon and orange ones don’t have a fishy taste at all. The bottle is 1/3 strawberry, so it’s a big waste picking through them.<br /><br />This product would be 5 stars if y’all got rid of the strawberry flavor. Did no one do a taste panel to make sure these weren’t gross? As a pregnant woman, I almost puked when I tried the stawberry. Do better, ""X Brand""!",Stawberry Flavor is Fishy!!!,Color and texture
"Likes: Texture. The orange and lemon flavored chews are delicious! They taste like those orange slice candies!<br /><br />Dislikes: The stawberry ones taste like straight up fish. I realize the product is made with fish, but the lemon and orange ones don’t have a fishy taste at all. The bottle is 1/3 strawberry, so it’s a big waste picking through them.<br /><br />This product would be 5 stars if y’all got rid of the strawberry flavor. Did no one do a taste panel to make sure these weren’t gross? As a pregnant woman, I almost puked when I tried the stawberry. Do better, ""X Brand""!",Stawberry Flavor is Fishy!!!,Bad Taste/Flavor
"This tastes exactly like what I remember my dad's Slim Fast tasted like. Same aftertaste and grit. Not bad, but not natural tasting, IMO. I liked that it was already made. But it wasn't my favorite taste.",OK,Quality/Contaminated
"This tastes exactly like what I remember my dad's Slim Fast tasted like. Same aftertaste and grit. Not bad, but not natural tasting, IMO. I liked that it was already made. But it wasn't my favorite taste.",OK,Not Effective
"This tastes exactly like what I remember my dad's Slim Fast tasted like. Same aftertaste and grit. Not bad, but not natural tasting, IMO. I liked that it was already made. But it wasn't my favorite taste.",OK,Bad Taste/Flavor
"Before you buy, do a little Google research!",Huge Waste of Money!,Too big to swallow
"Had been using the Walmart Equate version for months with no problem. Bought this because its a heck of a good price. Problem is that it made me and the wife sick. Nausea , the ""other end"" and dizziness. This is the only medication we share and the symptoms started the day after we started using it.",Made me sick,Allergic
Not what I thoght I ordered,Don't use,Wrong Product received
"Their website would have you believe that only ""trace amounts"" of arsenic and lead are found in this protein powder. Apparently, poison is natural in your plant based foods. Unfortunately for Vega, they came up testing for high levels of these heavy metals. That's enough to make me run the other way, but too bad I learned this after I purchased it and drank 4 servings of it in two days.<br /><br />If that weren't bad enough, the taste of the powder is just awful. I was going to choke it down anyway, until I learned about the literal poison inside. It's messy, super fine powder that sticks to every crevice. It flies out of the tub when you open it. The scoop is actually more than the serving of 41 grams, so I had to weigh each serving which was near impossible considering the texture of it. Please don't get this powder and save yourself the money.",Literal Poison,Texture
"Their website would have you believe that only ""trace amounts"" of arsenic and lead are found in this protein powder. Apparently, poison is natural in your plant based foods. Unfortunately for Vega, they came up testing for high levels of these heavy metals. That's enough to make me run the other way, but too bad I learned this after I purchased it and drank 4 servings of it in two days.<br /><br />If that weren't bad enough, the taste of the powder is just awful. I was going to choke it down anyway, until I learned about the literal poison inside. It's messy, super fine powder that sticks to every crevice. It flies out of the tub when you open it. The scoop is actually more than the serving of 41 grams, so I had to weigh each serving which was near impossible considering the texture of it. Please don't get this powder and save yourself the money.",Literal Poison,Quality/Contaminated
"Their website would have you believe that only ""trace amounts"" of arsenic and lead are found in this protein powder. Apparently, poison is natural in your plant based foods. Unfortunately for Vega, they came up testing for high levels of these heavy metals. That's enough to make me run the other way, but too bad I learned this after I purchased it and drank 4 servings of it in two days.<br /><br />If that weren't bad enough, the taste of the powder is just awful. I was going to choke it down anyway, until I learned about the literal poison inside. It's messy, super fine powder that sticks to every crevice. It flies out of the tub when you open it. The scoop is actually more than the serving of 41 grams, so I had to weigh each serving which was near impossible considering the texture of it. Please don't get this powder and save yourself the money.",Literal Poison,Ingredients
"Their website would have you believe that only ""trace amounts"" of arsenic and lead are found in this protein powder. Apparently, poison is natural in your plant based foods. Unfortunately for Vega, they came up testing for high levels of these heavy metals. That's enough to make me run the other way, but too bad I learned this after I purchased it and drank 4 servings of it in two days.<br /><br />If that weren't bad enough, the taste of the powder is just awful. I was going to choke it down anyway, until I learned about the literal poison inside. It's messy, super fine powder that sticks to every crevice. It flies out of the tub when you open it. The scoop is actually more than the serving of 41 grams, so I had to weigh each serving which was near impossible considering the texture of it. Please don't get this powder and save yourself the money.",Literal Poison,Color and texture
"Their website would have you believe that only ""trace amounts"" of arsenic and lead are found in this protein powder. Apparently, poison is natural in your plant based foods. Unfortunately for Vega, they came up testing for high levels of these heavy metals. That's enough to make me run the other way, but too bad I learned this after I purchased it and drank 4 servings of it in two days.<br /><br />If that weren't bad enough, the taste of the powder is just awful. I was going to choke it down anyway, until I learned about the literal poison inside. It's messy, super fine powder that sticks to every crevice. It flies out of the tub when you open it. The scoop is actually more than the serving of 41 grams, so I had to weigh each serving which was near impossible considering the texture of it. Please don't get this powder and save yourself the money.",Literal Poison,Allergic
"Their website would have you believe that only ""trace amounts"" of arsenic and lead are found in this protein powder. Apparently, poison is natural in your plant based foods. Unfortunately for Vega, they came up testing for high levels of these heavy metals. That's enough to make me run the other way, but too bad I learned this after I purchased it and drank 4 servings of it in two days.<br /><br />If that weren't bad enough, the taste of the powder is just awful. I was going to choke it down anyway, until I learned about the literal poison inside. It's messy, super fine powder that sticks to every crevice. It flies out of the tub when you open it. The scoop is actually more than the serving of 41 grams, so I had to weigh each serving which was near impossible considering the texture of it. Please don't get this powder and save yourself the money.",Literal Poison,Bad Taste/Flavor
no good,Old vitamins 2 years have passed expiration date I was busy today.,Expiry
"This product definitely helped my husband sleep, but he cannot comment yet on its intended usage as a muscle builder.  He is two weeks into using it, and will provide a longer detailed review after he has completed using the bottle","Great for sleep, no other differences noticed....",Not Effective
I can tell this product is not the same as the one I bought from Walmart. Both my boyfriend and I have the same feeling. It lasts way shorter. Won’t buy it from here anymore,Not good,Quality/Contaminated
Strawberry lime TASTES LIKE BUTT WOULD NOT RECOMMEND,Strawberry flavor is bad,Quality/Contaminated
Strawberry lime TASTES LIKE BUTT WOULD NOT RECOMMEND,Strawberry flavor is bad,Bad Taste/Flavor
there is not written expiration date and and product looking not good,its not normal,Quality/Contaminated
there is not written expiration date and and product looking not good,its not normal,Expiry
"I took this at night. In the morning my stomach was doing back flips. It gave me diarrhea soon after and like a little bit throughout the day. I was scared to let out a small fart. I went to go pee and had a little diarrhea without even realizing I had to do that. Good thing I decided not to pass gas outside the bathroom.<br />Anyway. From my experience, I think it is good for a one time thing if you you are just having bowel movement issues.<br />I recommend taking only one at first to see how that does.",Diaherra all day/ scared to fart,Allergic
"I bought this for my mom and she says it does not work as well as real Claritin. However, you need to try it for yourself. If you do take Claritin daily you could save alot of money by switching to a generic.",I am not sure this works as well as the real thing,Not Effective
caused me a lot of cramping and bloating,dangerous product,Allergic
"These are all weird looking , inside the clear bottle, the gummys look like they were out in the heat, all stuck to each other.... I threw them away, such a waste of hard earned money! I don't recommend.",came all wet looking and upset dont buy these,Texture
"I don’t know if it’s working or not, but it definitely taste  good and I eat them like candy.",I don’t forget to take them because they taste good,Too Sweet
"I don’t know if it’s working or not, but it definitely taste  good and I eat them like candy.",I don’t forget to take them because they taste good,Not Effective
"As of a few months ago, Optimum Nutrition must have updated their formula and the new formula tastes terrible. This used to be one of the best tasting protein powders, but the new formula is way worse. When I tried it, I immediately noticed something was off with the flavor, so I returned it assuming I just got a bad batch. But the replacement they sent me tasted exactly like the first one, so I can only assume that they changed their formula, probably to cut costs (not that they’ve passed those savings on to consumers though). It’s hard to describe the new flavor, but it’s kind of a sour, metallic taste. I’ve been buying this protein powder for nearly 8 years, but I’m never buying this again.",New formula is terrible,Quality/Contaminated
"As of a few months ago, Optimum Nutrition must have updated their formula and the new formula tastes terrible. This used to be one of the best tasting protein powders, but the new formula is way worse. When I tried it, I immediately noticed something was off with the flavor, so I returned it assuming I just got a bad batch. But the replacement they sent me tasted exactly like the first one, so I can only assume that they changed their formula, probably to cut costs (not that they’ve passed those savings on to consumers though). It’s hard to describe the new flavor, but it’s kind of a sour, metallic taste. I’ve been buying this protein powder for nearly 8 years, but I’m never buying this again.",New formula is terrible,Bad Taste/Flavor
Taste is so awful that it is undrinkable. Full of artificial sweeteners. It left a chemical aftertaste for hours. Do not buy.,Terrible chemical taste,Bad Taste/Flavor
Taste is so awful that it is undrinkable. Full of artificial sweeteners. It left a chemical aftertaste for hours. Do not buy.,Terrible chemical taste,Customer Service
SNAKE OIL. Ineffective.,Waste of money.,Not Effective
I have been using this product since long... but I am upset this time the taste is not even close to chocolate and tastes bad. I feel this time the item I received is not original.,Taste is really bad!,Quality/Contaminated
I have been using this product since long... but I am upset this time the taste is not even close to chocolate and tastes bad. I feel this time the item I received is not original.,Taste is really bad!,Inferior to competitors
I have been using this product since long... but I am upset this time the taste is not even close to chocolate and tastes bad. I feel this time the item I received is not original.,Taste is really bad!,Bad Taste/Flavor
"They sneakily changed the formula, this is not “pure” cod liver oil anymore, it has reduced natural vitamin A content and they replaced it with added poor quality cheap synthetic Vitamin A. This form of added vitamin A is not good for health. Avoid at all costs as the picture is misleading does not show this change<br /><br />Now foods is getting greedy and reducing quality of their product this is too bad never buying from them again","Contains synthetic vitamin, not pure cod liver oil!!",Not Effective
"They sneakily changed the formula, this is not “pure” cod liver oil anymore, it has reduced natural vitamin A content and they replaced it with added poor quality cheap synthetic Vitamin A. This form of added vitamin A is not good for health. Avoid at all costs as the picture is misleading does not show this change<br /><br />Now foods is getting greedy and reducing quality of their product this is too bad never buying from them again","Contains synthetic vitamin, not pure cod liver oil!!",Quality/Contaminated
"They sneakily changed the formula, this is not “pure” cod liver oil anymore, it has reduced natural vitamin A content and they replaced it with added poor quality cheap synthetic Vitamin A. This form of added vitamin A is not good for health. Avoid at all costs as the picture is misleading does not show this change<br /><br />Now foods is getting greedy and reducing quality of their product this is too bad never buying from them again","Contains synthetic vitamin, not pure cod liver oil!!",False Advertisement
Powder settles at the bottom even mixed with hot coffee. Absolutely will not blend. And it doesn’t taste like anything. Maybe I got a bad batch but I won’t buy this brand again.,Does not blend. Settles at bottom.,Quality/Contaminated
Not the best flavor...honestly tastes like plastic,Don’t choose this flavor,Bad Taste/Flavor
Doesn’t taste good. Doesn’t taste how other reviews described it to be. Lacks chocolate taste but has the taste of artificial sweeteners. Tried to return it but only got half of what I paid for back.,not good,Quality/Contaminated
"I decided to try this product since it had fairly good reviews and was a bit cheaper compared to the other one I was on and loved. My hair started to fall out again, my skin is horrible again, I get so sick to my stomach within 30min of taking this product & often vomit  them back up even with taking it before, during or after meals. Maybe it just doesn't mix well with me but after great results with the first product I was highly  disappointed to get nothing but reverse results with this one.",Didn't do anything for me.,Not Effective
"I decided to try this product since it had fairly good reviews and was a bit cheaper compared to the other one I was on and loved. My hair started to fall out again, my skin is horrible again, I get so sick to my stomach within 30min of taking this product & often vomit  them back up even with taking it before, during or after meals. Maybe it just doesn't mix well with me but after great results with the first product I was highly  disappointed to get nothing but reverse results with this one.",Didn't do anything for me.,Allergic
"Did fine for the first few weeks. Then they started leaking and making all their cloths smell like pee. So I dont Know if I got A bad batch or what. We tried them over a month, got worse longer we tried them.",Leaks a little,Quality/Contaminated
I failed my drug test so no you are better off sacrificing a month like I've done B4 and drink huge cups of water EVERYDAY ALL DAY...this is still useful but do not take its exact words use it as a extra help not as an exact source,Shiiddd!!!!,Too big to swallow
"The tub arrived with a plastic seal around the outside of the lid. Once you remove the plastic wrapping and the lid, you’re good to go. There is no seal under the lid (at least for mine).<br /><br />The protein itself gives off a smell that faintly reminds me of play-doh. Not appetizing. The vanilla flavor is there, but it’s not appetizing either.<br /><br />Overall, I would not buy this protein powder again. I just don’t enjoy the taste or smell and that kills it for me. My protein shakes to me should be snacks to be enjoyed, not something I struggle to down.",Not buying again,Packaging
"The tub arrived with a plastic seal around the outside of the lid. Once you remove the plastic wrapping and the lid, you’re good to go. There is no seal under the lid (at least for mine).<br /><br />The protein itself gives off a smell that faintly reminds me of play-doh. Not appetizing. The vanilla flavor is there, but it’s not appetizing either.<br /><br />Overall, I would not buy this protein powder again. I just don’t enjoy the taste or smell and that kills it for me. My protein shakes to me should be snacks to be enjoyed, not something I struggle to down.",Not buying again,Customer Service
"The tub arrived with a plastic seal around the outside of the lid. Once you remove the plastic wrapping and the lid, you’re good to go. There is no seal under the lid (at least for mine).<br /><br />The protein itself gives off a smell that faintly reminds me of play-doh. Not appetizing. The vanilla flavor is there, but it’s not appetizing either.<br /><br />Overall, I would not buy this protein powder again. I just don’t enjoy the taste or smell and that kills it for me. My protein shakes to me should be snacks to be enjoyed, not something I struggle to down.",Not buying again,Bad Taste/Flavor
"I bought these in large according to the measurements given.  The sizing is off because the large is too big and the padding bunches up and is uncomfortable.  Also, the edges near the thigh have a glue-like substance that stick to my body and pulls on the hair.  This might be as a result of the pants being too large.  Will try a smaller size to see if there is a difference.",Runs large,Texture
"I bought these in large according to the measurements given.  The sizing is off because the large is too big and the padding bunches up and is uncomfortable.  Also, the edges near the thigh have a glue-like substance that stick to my body and pulls on the hair.  This might be as a result of the pants being too large.  Will try a smaller size to see if there is a difference.",Runs large,Too big to swallow
"As a senior taking a med for elevated blood pressure, I was uncertain if I should try these and held off for many months. I finally decided that it would be worth a try and began using one pill a day, taking it in the morning. I'd been a bit down, in mood, for a while due to a long winter and wet Spring, and needed a boost to get some tasks completed.  I was hopeful these might be the answer.<br /><br />I noticed an increase in my energy and motivation the afternoon of the first day, and the second day even more. I cleaned, planted my little garden, cleaned and organized our home and more while taking this for a few days. I felt good, not only due to my energy level, but due to completing the tasks I'd wanted to do for many weeks.<br /><br />I didn't really notice a change in my mood or ""happiness"", but I began to have trouble sleeping. After a number of restless nights of little sleep, I decided to cut back and take a half pill, which I did for a few more days. I finally just gave up as lack of sleep did the opposite to my mood from what my wish was, unfortunately.<br /><br />I hadn't see a lot of reports of similar effects in my online research, but there were a few. In most cases, there was no reference to the amount of Ashwagandah taken. These, 600 mg tablets are a reasonable and acceptable dose, but I've read that splitting it to 300 mg every morning and night is also a good plan.  I find it interesting that it's identified as a ""sleep aid"" when it had the opposite effect on me.<br /><br />I often have difficulty taking meds and supplements because of my easily irritable stomach and digestive tract, but did not with this Ashwagandah from Garden of Life. There are some probiotics in the blend, but it appears to be a small amount. Ginger is also known to be good for digestion, so the combination might be deserving of credit for my tolerance. If I could only sleep!<br /><br />To summarize, this supplement had some good effects for me, as noted above.  My sensitive digestive system tolerated it well, but I couldn't get adequate, restful sleep. As with all meds and supplements, their effects and tolerance are unique to the individual.",Increased Energy But Couldn't Sleep!,Allergic
Horrible flavor very sweet and very  acidic,Not good peach mango,Too Sweet
Horrible flavor very sweet and very  acidic,Not good peach mango,Quality/Contaminated
Horrible flavor very sweet and very  acidic,Not good peach mango,Bad Taste/Flavor
They sent the wrong item twice now. I will not order again!!! Will just buy at health food store. VERY DISSAPOINTED!!!!,Wrong item sent,Wrong Product received
They sent the wrong item twice now. I will not order again!!! Will just buy at health food store. VERY DISSAPOINTED!!!!,Wrong item sent,Customer Service
Never did anything for me. Most of my issue were brought on by stress and anxiety. Doctors love to send you for 99 tests when you never needed them. This stuff might work for someone that eats like garbage. All you need to do is change your diet as you don't need pills.,Not bad,Quality/Contaminated
Shampoo does not work. Causes your head to itch . And it's not returnable even though description states it is effective against dandruff.,Terrible product,Not Effective
"If you open the bottle, you immediately notice a disgusting and very intense plastic smell - even after days. If you take out a capsule and hold it close to your nose - you will notice the same smell. BASELINE: It seems highly likely that some volatile components of the packaging material migrated into the capsules. Whatever component it is (volatile organic component, plasticizer) - I do not want to have this in my body. I do not recommend this product.",Probably toxic packaging - intense plastic smell,Bad Taste/Flavor
"Tastes like sawdust, try the bitro gold instead much better",Disgusting taste,Bad Taste/Flavor
Arrived damaged. Yes.,"From ""InPrimeTime"" a Seller",Packaging
This taste good and do not make me nauseous. Love them,Good product,Allergic
I have bought many products by NOW foods and have always been satisfied.  I am really disappointed that this product contains palm oil with all of its know negative health effects.  I blame myself for not reading closer but I just took for granted that this company was good.,I wish I read the ingredients not happy about Palm Oil,Ingredients
"This item never arrived and ""X Brand"" informed me I had to file a police report if I wanted a refund. Not using ""X Brand"" again.",Never arrived,Shipment and delivery
"Gave me  horrific nightmares. Also caused me to wake up suddenly with pounding heart and confusion.  Tried them four times, each time had the same result. Threw them away.",Beware of bad side effects!,Allergic
"Gave me  horrific nightmares. Also caused me to wake up suddenly with pounding heart and confusion.  Tried them four times, each time had the same result. Threw them away.",Beware of bad side effects!,Quality/Contaminated
"We used these for the last 2-3 years with our oldest.  We had so many in stock that we had not ordered more for about a year.  After our youngest was born, we got a new shipment but the formula has changed and is a lot more ""soapy"" even to the point where a residue with small bubbles was left on newborn baby's skin.  Originally liked the very mild formula.  Cancelled subscription after last order.","New formula is more ""soapy""",Customer Service
"I try not to write bad reviews but these diapers were horrible for my twins. They typically sleep through the night, but not with these, no moisture was wicked off their skin so even with a tiny bit of urine, they were still wet. I was getting up with them 2x a night for diaper changes. Poo would leak out and up the top, yes, we used correct size. These sagged insanely, which most moms dislike, especially me. Won’t buy again.",Disappointing,Quality/Contaminated
"I try not to write bad reviews but these diapers were horrible for my twins. They typically sleep through the night, but not with these, no moisture was wicked off their skin so even with a tiny bit of urine, they were still wet. I was getting up with them 2x a night for diaper changes. Poo would leak out and up the top, yes, we used correct size. These sagged insanely, which most moms dislike, especially me. Won’t buy again.",Disappointing,Bad Taste/Flavor
They do not work.,Does not work,Not Effective
"I'm reading all of these other reviews and I feel like maybe I got a bad batch? These things taste like what I'd imagine the flavor would be if a raspberry could have a bowel movement.  I try holding my nose to choke them down, but even that doesn't mask the taste.  Do not recommend. 😳","Tiny, Chewy, Taste Bud Assassins",Quality/Contaminated
"I'm reading all of these other reviews and I feel like maybe I got a bad batch? These things taste like what I'd imagine the flavor would be if a raspberry could have a bowel movement.  I try holding my nose to choke them down, but even that doesn't mask the taste.  Do not recommend. 😳","Tiny, Chewy, Taste Bud Assassins",Bad Taste/Flavor
"Never received item. Status says delivered, but I did not receive it.",Never got it,Shipment and delivery
"I am a MASSIVE fan of gummy vitamins and ordinarily I am not hard to please.  So it's rather surprising how unimpressed I am with these.  The flavor is just meh---sometimes gummy vitamins stand in for my dessert, but these are not delicious enough for that. They are not particularly sweet and also not sour in a good way (like sour candies).  They also stick like crazy to my teeth; more than other gummy vitamins do.  Nutrionally they are a little better than some other gummies.  These have 100% of vitamins C & D, and close to that of Folic Acid (which is really key for women of childbearing age/possibility or who are pregnant ) and B12.  So the nutrition makes these worth taking, and they're not so bad that I will dread taking them (like I do for almost any pill I have to swallow), but they are not exactly a delicious treat, either.",Too sticky and a little sour,Quality/Contaminated
"I am a MASSIVE fan of gummy vitamins and ordinarily I am not hard to please.  So it's rather surprising how unimpressed I am with these.  The flavor is just meh---sometimes gummy vitamins stand in for my dessert, but these are not delicious enough for that. They are not particularly sweet and also not sour in a good way (like sour candies).  They also stick like crazy to my teeth; more than other gummy vitamins do.  Nutrionally they are a little better than some other gummies.  These have 100% of vitamins C & D, and close to that of Folic Acid (which is really key for women of childbearing age/possibility or who are pregnant ) and B12.  So the nutrition makes these worth taking, and they're not so bad that I will dread taking them (like I do for almost any pill I have to swallow), but they are not exactly a delicious treat, either.",Too sticky and a little sour,Color and texture
"I am a MASSIVE fan of gummy vitamins and ordinarily I am not hard to please.  So it's rather surprising how unimpressed I am with these.  The flavor is just meh---sometimes gummy vitamins stand in for my dessert, but these are not delicious enough for that. They are not particularly sweet and also not sour in a good way (like sour candies).  They also stick like crazy to my teeth; more than other gummy vitamins do.  Nutrionally they are a little better than some other gummies.  These have 100% of vitamins C & D, and close to that of Folic Acid (which is really key for women of childbearing age/possibility or who are pregnant ) and B12.  So the nutrition makes these worth taking, and they're not so bad that I will dread taking them (like I do for almost any pill I have to swallow), but they are not exactly a delicious treat, either.",Too sticky and a little sour,Bad Taste/Flavor
"I am a MASSIVE fan of gummy vitamins and ordinarily I am not hard to please.  So it's rather surprising how unimpressed I am with these.  The flavor is just meh---sometimes gummy vitamins stand in for my dessert, but these are not delicious enough for that. They are not particularly sweet and also not sour in a good way (like sour candies).  They also stick like crazy to my teeth; more than other gummy vitamins do.  Nutrionally they are a little better than some other gummies.  These have 100% of vitamins C & D, and close to that of Folic Acid (which is really key for women of childbearing age/possibility or who are pregnant ) and B12.  So the nutrition makes these worth taking, and they're not so bad that I will dread taking them (like I do for almost any pill I have to swallow), but they are not exactly a delicious treat, either.",Too sticky and a little sour,Texture
"I am a MASSIVE fan of gummy vitamins and ordinarily I am not hard to please.  So it's rather surprising how unimpressed I am with these.  The flavor is just meh---sometimes gummy vitamins stand in for my dessert, but these are not delicious enough for that. They are not particularly sweet and also not sour in a good way (like sour candies).  They also stick like crazy to my teeth; more than other gummy vitamins do.  Nutrionally they are a little better than some other gummies.  These have 100% of vitamins C & D, and close to that of Folic Acid (which is really key for women of childbearing age/possibility or who are pregnant ) and B12.  So the nutrition makes these worth taking, and they're not so bad that I will dread taking them (like I do for almost any pill I have to swallow), but they are not exactly a delicious treat, either.",Too sticky and a little sour,Ingredients
"I just had to reorder the item because ""X Brand"" Fulfillment sent me a hat instead. It wasn't now food solutions fault. Somebody in fulfillment  just pulled the wrong item and didn't check it",Ordered Lanolin but received a white base ball cap instead,Wrong Product received
"Three pills a day, no difference as far as I can tell. I hate to rate a New Chapter product low, but I was not impressed with this one. Went back to their women’s one daily multi.",Eh,Not Effective
"These make me feel too bloated. I tried them for over a week, and the longer I take them the worse the bloating gets. Yuk!",Too bloated,Bad Taste/Flavor
I received my item but i am returning it because it is not sealed.. .. i am afraid to take it.. it should be sealed for protection as stated on the cover but i was surprised it was opened. pictures attached!,Not properly sealed!,Packaging
"Be aware, I never believed this product couldn't do this, didn't read the reviews BEFORE Iused it!  Got so sick couldn't eat much for three days, when I got better I threw out everything I used in my smoothie, except the Vega Protein & energy Cold Brew Coffee supplement...drank the smoothie again with this and got sick again at work and had to leave, hoping to get home in time, just did.  A few days later I (thinking I got rid of whatever the culprit was), and drank a new smoothie with Vega in it again!  This was the worst episode yet, if I could have gotten off the bathroom floor to a phone I would have gone to the hospital...only when I could, did I read the reviews that talked about the similar experiences.  It is obviously this product as I hadn't eaten anything else except the smoothie with the Vega product in the morning.",Created violent food posioning...3 times...,Allergic
I hated this stuff. It tastes like cardboard and does not mix well with any liquid. I even tried it in the blender and it became a foam.,This tastes awful,Bad Taste/Flavor
"Purchased this flavor because it was cheaper. I didn't like, not nasty but gritty and weird flavor.",Falvor isnt all that,Texture
"Purchased this flavor because it was cheaper. I didn't like, not nasty but gritty and weird flavor.",Falvor isnt all that,Bad Taste/Flavor
I hated these flavors. Tried to like them but ended throwing them away,Nope,Bad Taste/Flavor
I received the wrong product. I ordered Magnesium and received Potassium Gluconate. I tried to return it but am not able to.,Received wrong product,Wrong Product received
good product but are used it with a different scooper it would last a long time but after a couple  Joggs I read it it only gives you eight servings the scooper in this thing is huge but I guess it's a weight gainer so I measured work are used it for breakfast because I start work at 3:30 and who's going  Cook breakfast at that time so it held me over till about 11 it's service purpose but now they found out I'm allergic to egg so I had to sell the rest of mine,There's only eight servings,Too big to swallow
good product but are used it with a different scooper it would last a long time but after a couple  Joggs I read it it only gives you eight servings the scooper in this thing is huge but I guess it's a weight gainer so I measured work are used it for breakfast because I start work at 3:30 and who's going  Cook breakfast at that time so it held me over till about 11 it's service purpose but now they found out I'm allergic to egg so I had to sell the rest of mine,There's only eight servings,Allergic
Decent flavor,Fast shipping,Bad Taste/Flavor
Received 3 or the 4 pounds because  the package was sliced open.,Bad shipping.,Quality/Contaminated
"The product had an expiration date of April 2019. Received March 30th 2019, 60 count Glow Nature Made.",Out of date product received.,Expiry
"I have been using this product for years  with success even when they changed to the new capsule . I rcv'd some yesterday each capsule has a large air bubble on top and it did absolutely nothing for sleep.I called the co. to see if it was missing ingredients they said no missing ingredients and the nitrogen bubble is normal.Also 1 of the herbs in the product comes from CHINA the rest from europe,india and u.s.Bottom line is its expensive and does not work now at all.so what changed?I have been using it off and on for 10 years.It is a waste of money and am very disappointed in their product.I know they got bought out a while ago .Not recommended if you want help with your sleep",it does not work:changed?,Not Effective
"I have been using this product for years  with success even when they changed to the new capsule . I rcv'd some yesterday each capsule has a large air bubble on top and it did absolutely nothing for sleep.I called the co. to see if it was missing ingredients they said no missing ingredients and the nitrogen bubble is normal.Also 1 of the herbs in the product comes from CHINA the rest from europe,india and u.s.Bottom line is its expensive and does not work now at all.so what changed?I have been using it off and on for 10 years.It is a waste of money and am very disappointed in their product.I know they got bought out a while ago .Not recommended if you want help with your sleep",it does not work:changed?,Packaging
"Gave it to my son and he tried it, but eventually pitched it out.",taste was awful,Bad Taste/Flavor
Just opened the box to find a smashed bottle so it all has to go in the trash.  2 days outside the return window...I use the subscribe  process so that I don't run out.  It never dawned on me to open an apparently intact box to inspect the bottle.  I certainly will going forward.,Defective Product Packaging,Packaging
I’m a long time dried mango lover but these Kirklands are Surprisingly tasteless and dry. It’s like eating shoe leather. Maybe I got a bad bag?,Bad bag??,Quality/Contaminated
"Bought Cookies and Cream flavor, container says Cookies and Creme. Tastes like Strawberry and... Banana? Have bought Cookies and Cream before so I know what it's supposed to taste like.",Wrong Flavor,Bad Taste/Flavor
"Love this products effects and generally the flavor is outstanding. I'm not sure where the testers went wrong on this product versus their other flavors. If you even try to do 2 scoops in a 16oz bottle (let alone the apparent 6 scoops you can do) it's like drinking liquefied grape Jolly Ranchers, which sounds great until you are on your second or third workout of it. The amount of dye they use in this one compared to the others is way over the top as well. Normally I can see through my glass water bottle, even on the Blue Raspberry one. Concord Grape is darker than even a grape would be. Why do they think health conscious forward people want such a near black drink before a workout?<br /><br />To give an idea of the insane level of flavor, I can put half a scoop in with a same size full scoop of unflavored bitter BCAA's and still have the BCAA flavor nearly gone, along with the amino acids that are already in this drink to begin with. That's so over the top.",Strongest flavor and most aggressive dying is Concord Grape,Wrong Product received
"Love this products effects and generally the flavor is outstanding. I'm not sure where the testers went wrong on this product versus their other flavors. If you even try to do 2 scoops in a 16oz bottle (let alone the apparent 6 scoops you can do) it's like drinking liquefied grape Jolly Ranchers, which sounds great until you are on your second or third workout of it. The amount of dye they use in this one compared to the others is way over the top as well. Normally I can see through my glass water bottle, even on the Blue Raspberry one. Concord Grape is darker than even a grape would be. Why do they think health conscious forward people want such a near black drink before a workout?<br /><br />To give an idea of the insane level of flavor, I can put half a scoop in with a same size full scoop of unflavored bitter BCAA's and still have the BCAA flavor nearly gone, along with the amino acids that are already in this drink to begin with. That's so over the top.",Strongest flavor and most aggressive dying is Concord Grape,Bad Taste/Flavor
Contains maltodextrin which is known to raise blood sugar so diabetics and and keto or low carb people cannot take. Why put this in your product? Apparently some people have allergic reaction to maltodextrin as well.,CONTAINS MALTODEXTRIN,Allergic
I ordered these June 12th 2019 for Father’s Day for my husband. As you can see in the picture they expired April 2019!!!!!,Sent expired food,Expiry
